"Step","harvest_cbamsvo - SW_ep_rew_total","harvest_cbamsvo - SW_ep_rew_total__MIN","harvest_cbamsvo - SW_ep_rew_total__MAX"
"8640000","153.42000198364258","153.42000198364258","153.42000198364258"
"8704000","153.42999839782715","153.42999839782715","153.42999839782715"
"8768000","154.0399990081787","154.0399990081787","154.0399990081787"
"8832000","153.98999786376953","153.98999786376953","153.98999786376953"
"8896000","154.4900016784668","154.4900016784668","154.4900016784668"
"8960000","154.36000061035156","154.36000061035156","154.36000061035156"
"9024000","154.50000190734863","154.50000190734863","154.50000190734863"
"9088000","154.5900001525879","154.5900001525879","154.5900001525879"
"9152000","154.5800018310547","154.5800018310547","154.5800018310547"
"9216000","154.6500015258789","154.6500015258789","154.6500015258789"
"9280000","154.66000175476074","154.66000175476074","154.66000175476074"
"9344000","154.52999877929688","154.52999877929688","154.52999877929688"
"9408000","154.44999885559082","154.44999885559082","154.44999885559082"
"9472000","153.9600009918213","153.9600009918213","153.9600009918213"
"9536000","154.56999588012695","154.56999588012695","154.56999588012695"
"9600000","154.5800018310547","154.5800018310547","154.5800018310547"
"9664000","154.5300006866455","154.5300006866455","154.5300006866455"
"9728000","154.55999946594238","154.55999946594238","154.55999946594238"
"9792000","154.49999618530273","154.49999618530273","154.49999618530273"
"9856000","154.55000114440918","154.55000114440918","154.55000114440918"
"9920000","154.5699977874756","154.5699977874756","154.5699977874756"
"9984000","154.56999969482422","154.56999969482422","154.56999969482422"
"10048000","154.70999908447266","154.70999908447266","154.70999908447266"
