"Step","harvest_original_cbam_svo - SW_ep_rew_total","harvest_original_cbam_svo - SW_ep_rew_total__MIN","harvest_original_cbam_svo - SW_ep_rew_total__MAX"
"14976000","212.57000255584717","212.57000255584717","212.57000255584717"
"15040000","196.27999877929688","196.27999877929688","196.27999877929688"
"15104000","143.83999872207642","143.83999872207642","143.83999872207642"
"15168000","180.86000061035156","180.86000061035156","180.86000061035156"
"15232000","150.9400007724762","150.9400007724762","150.9400007724762"
"15296000","177.79000091552734","177.79000091552734","177.79000091552734"
"15360000","214.56999397277832","214.56999397277832","214.56999397277832"
"15424000","242.84000396728516","242.84000396728516","242.84000396728516"
"15488000","220.52999877929688","220.52999877929688","220.52999877929688"
"15552000","241.80999946594238","241.80999946594238","241.80999946594238"
"15616000","249.68999671936035","249.68999671936035","249.68999671936035"
"15680000","265.32000160217285","265.32000160217285","265.32000160217285"
"15744000","273.350004196167","273.350004196167","273.350004196167"
"15808000","272.7599983215332","272.7599983215332","272.7599983215332"
"15872000","292.3400001525879","292.3400001525879","292.3400001525879"
"15936000","296","296","296"
"16000000","297.01000213623047","297.01000213623047","297.01000213623047"
"16064000","292.39999771118164","292.39999771118164","292.39999771118164"
"16128000","306.70999908447266","306.70999908447266","306.70999908447266"
"16192000","324.1700019836426","324.1700019836426","324.1700019836426"
"16256000","323.86000061035156","323.86000061035156","323.86000061035156"
"16320000","343.0299987792969","343.0299987792969","343.0299987792969"
"16384000","363.89999771118164","363.89999771118164","363.89999771118164"
"16448000","342.62999725341797","342.62999725341797","342.62999725341797"
"16512000","350.61999893188477","350.61999893188477","350.61999893188477"
"16576000","345.60000228881836","345.60000228881836","345.60000228881836"
"16640000","334.9099979400635","334.9099979400635","334.9099979400635"
"16704000","343.1500015258789","343.1500015258789","343.1500015258789"
"16768000","344.5699996948242","344.5699996948242","344.5699996948242"
"16832000","346.9199981689453","346.9199981689453","346.9199981689453"
"16896000","374","374","374"
"16960000","354.4299964904785","354.4299964904785","354.4299964904785"
"17024000","361.8399963378906","361.8399963378906","361.8399963378906"
"17088000","394.38999938964844","394.38999938964844","394.38999938964844"
"17152000","356.98999786376953","356.98999786376953","356.98999786376953"
"17216000","349.0500030517578","349.0500030517578","349.0500030517578"
"17280000","376.8299980163574","376.8299980163574","376.8299980163574"
"17344000","366.47999572753906","366.47999572753906","366.47999572753906"
"17408000","391.9599952697754","391.9599952697754","391.9599952697754"
"17472000","412.4599914550781","412.4599914550781","412.4599914550781"
"17536000","409.0600051879883","409.0600051879883","409.0600051879883"
"17600000","408.439998626709","408.439998626709","408.439998626709"
"17664000","438.3800048828125","438.3800048828125","438.3800048828125"
"17728000","437.7400016784668","437.7400016784668","437.7400016784668"
"17792000","434.45999908447266","434.45999908447266","434.45999908447266"
"17856000","426.810001373291","426.810001373291","426.810001373291"
"17920000","449.18000411987305","449.18000411987305","449.18000411987305"
"17984000","451.70000076293945","451.70000076293945","451.70000076293945"
"18048000","431.4200019836426","431.4200019836426","431.4200019836426"
"18112000","442.3499984741211","442.3499984741211","442.3499984741211"
"18176000","440.10000228881836","440.10000228881836","440.10000228881836"
"18240000","468.5699996948242","468.5699996948242","468.5699996948242"
"18304000","467.01001358032227","467.01001358032227","467.01001358032227"
"18368000","448.2999954223633","448.2999954223633","448.2999954223633"
"18432000","433.8499946594238","433.8499946594238","433.8499946594238"
"18496000","341.2800006866455","341.2800006866455","341.2800006866455"
"18560000","202.98999691009521","202.98999691009521","202.98999691009521"
"18624000","-137.34999950230122","-137.34999950230122","-137.34999950230122"
"18688000","-398.9999942779541","-398.9999942779541","-398.9999942779541"
"18752000","-728.5400009155273","-728.5400009155273","-728.5400009155273"
"18816000","-845.0199928283691","-845.0199928283691","-845.0199928283691"
"18880000","-830.2599906921387","-830.2599906921387","-830.2599906921387"
"18944000","-968.3400039672852","-968.3400039672852","-968.3400039672852"
"19008000","-1185.1999969482422","-1185.1999969482422","-1185.1999969482422"
"19072000","-1317.0899810791016","-1317.0899810791016","-1317.0899810791016"
"19136000","-1894.6999816894531","-1894.6999816894531","-1894.6999816894531"
"19200000","-1703.8899993896484","-1703.8899993896484","-1703.8899993896484"
"19264000","-1240.400001525879","-1240.400001525879","-1240.400001525879"
"19328000","-1220.5800094604492","-1220.5800094604492","-1220.5800094604492"
"19392000","-1540.8700103759766","-1540.8700103759766","-1540.8700103759766"
"19456000","-1591.1299896240234","-1591.1299896240234","-1591.1299896240234"
"19520000","-1954.5499725341797","-1954.5499725341797","-1954.5499725341797"
"19584000","-1762.2799987792969","-1762.2799987792969","-1762.2799987792969"
"19648000","-1409.9100189208984","-1409.9100189208984","-1409.9100189208984"
"19712000","-1426.1899871826172","-1426.1899871826172","-1426.1899871826172"
"19776000","-1322.6899871826172","-1322.6899871826172","-1322.6899871826172"
"19840000","-1378.4499816894531","-1378.4499816894531","-1378.4499816894531"
"19904000","-1524.3099822998047","-1524.3099822998047","-1524.3099822998047"
"19968000","-1235.2100219726562","-1235.2100219726562","-1235.2100219726562"
"20032000","-1388.1699905395508","-1388.1699905395508","-1388.1699905395508"
