"Step","cleanup_cbaminequity_aversion - SW_ep_rew_total","cleanup_cbaminequity_aversion - SW_ep_rew_total__MIN","cleanup_cbaminequity_aversion - SW_ep_rew_total__MAX"
"1984000","-90.56497955322266","-90.56497955322266","-90.56497955322266"
"2048000","-92.0949764251709","-92.0949764251709","-92.0949764251709"
"2112000","-60.294976234436035","-60.294976234436035","-60.294976234436035"
"2176000","-53.984981536865234","-53.984981536865234","-53.984981536865234"
"2240000","-57.917476654052734","-57.917476654052734","-57.917476654052734"
"2304000","-60.35247755050659","-60.35247755050659","-60.35247755050659"
"2368000","-42.98247838020325","-42.98247838020325","-42.98247838020325"
"2432000","-37.92997765541077","-37.92997765541077","-37.92997765541077"
"2496000","-23.569985687732697","-23.569985687732697","-23.569985687732697"
"2560000","-22.62999200820923","-22.62999200820923","-22.62999200820923"
"2624000","-20.249991714954376","-20.249991714954376","-20.249991714954376"
"2688000","-16.924994945526123","-16.924994945526123","-16.924994945526123"
"2752000","-12.767494797706604","-12.767494797706604","-12.767494797706604"
"2816000","-9.322495430707932","-9.322495430707932","-9.322495430707932"
"2880000","-1.844997227191925","-1.844997227191925","-1.844997227191925"
"2944000","-3.4824962615966797","-3.4824962615966797","-3.4824962615966797"
"3008000","-5.6499959602952","-5.6499959602952","-5.6499959602952"
"3072000","1.8750019073486328","1.8750019073486328","1.8750019073486328"
"3136000","5.565001368522644","5.565001368522644","5.565001368522644"
"3200000","3.6850014328956604","3.6850014328956604","3.6850014328956604"
"3264000","4.81000018119812","4.81000018119812","4.81000018119812"
"3328000","4.4124999940395355","4.4124999940395355","4.4124999940395355"
"3392000","3.730000227689743","3.730000227689743","3.730000227689743"
"3456000","4.735001102089882","4.735001102089882","4.735001102089882"
"3520000","5.0325005650520325","5.0325005650520325","5.0325005650520325"
"3584000","4.892500102519989","4.892500102519989","4.892500102519989"
"3648000","5.007499873638153","5.007499873638153","5.007499873638153"
"3712000","5.827499657869339","5.827499657869339","5.827499657869339"
"3776000","6.567499458789825","6.567499458789825","6.567499458789825"
"3840000","6.662499845027924","6.662499845027924","6.662499845027924"
"3904000","4.5525001883506775","4.5525001883506775","4.5525001883506775"
"3968000","5.609999001026154","5.609999001026154","5.609999001026154"
"4032000","4.949999734759331","4.949999734759331","4.949999734759331"
"4096000","4.344999477267265","4.344999477267265","4.344999477267265"
"4160000","5.027500286698341","5.027500286698341","5.027500286698341"
"4224000","4.659999489784241","4.659999489784241","4.659999489784241"
"4288000","3.499999781837687","3.499999781837687","3.499999781837687"
"4352000","4.877499550580978","4.877499550580978","4.877499550580978"
"4416000","5.5824995040893555","5.5824995040893555","5.5824995040893555"
"4480000","5.352499067783356","5.352499067783356","5.352499067783356"
"4544000","5.202499628067017","5.202499628067017","5.202499628067017"
"4608000","5.597499072551727","5.597499072551727","5.597499072551727"
"4672000","6.052499234676361","6.052499234676361","6.052499234676361"
"4736000","5.652499794960022","5.652499794960022","5.652499794960022"
"4800000","5.609999120235443","5.609999120235443","5.609999120235443"
"4864000","4.817499458789825","4.817499458789825","4.817499458789825"
"4928000","5.552499413490295","5.552499413490295","5.552499413490295"
"4992000","5.449999630451202","5.449999630451202","5.449999630451202"
"5056000","4.437499284744263","4.437499284744263","4.437499284744263"
"5120000","4.752499520778656","4.752499520778656","4.752499520778656"
"5184000","4.429999113082886","4.429999113082886","4.429999113082886"
"5248000","3.362499415874481","3.362499415874481","3.362499415874481"
"5312000","3.8449991792440414","3.8449991792440414","3.8449991792440414"
"5376000","5.112499713897705","5.112499713897705","5.112499713897705"
