"Step","cleanup_cbam_baseline - SW_ep_rew_total","cleanup_cbam_baseline - SW_ep_rew_total__MIN","cleanup_cbam_baseline - SW_ep_rew_total__MAX"
"4288000","-77.00999927520752","-77.00999927520752","-77.00999927520752"
"4352000","-55.11999988555908","-55.11999988555908","-55.11999988555908"
"4416000","-31.43999934196472","-31.43999934196472","-31.43999934196472"
"4480000","-18.969999969005585","-18.969999969005585","-18.969999969005585"
"4544000","-18.40999972820282","-18.40999972820282","-18.40999972820282"
"4608000","-25.6899995803833","-25.6899995803833","-25.6899995803833"
"4672000","-28.04000025987625","-28.04000025987625","-28.04000025987625"
"4736000","-19.379999816417694","-19.379999816417694","-19.379999816417694"
"4800000","-17.829999923706055","-17.829999923706055","-17.829999923706055"
"4864000","-10.490000247955322","-10.490000247955322","-10.490000247955322"
"4928000","-49.25999999046326","-49.25999999046326","-49.25999999046326"
"4992000","-47.669999837875366","-47.669999837875366","-47.669999837875366"
"5056000","-12.979999840259552","-12.979999840259552","-12.979999840259552"
"5120000","-45.860000133514404","-45.860000133514404","-45.860000133514404"
