"Step","cleanup_0.3_0.0_0.85_0.015_cbamcausal - SW_ep_rew_total","cleanup_0.3_0.0_0.85_0.015_cbamcausal - SW_ep_rew_total__MIN","cleanup_0.3_0.0_0.85_0.015_cbamcausal - SW_ep_rew_total__MAX"
"5760000","7.549999952316284","7.549999952316284","7.549999952316284"
"5824000","7.690000057220459","7.690000057220459","7.690000057220459"
"5888000","7.550000071525574","7.550000071525574","7.550000071525574"
"5952000","8.050000071525574","8.050000071525574","8.050000071525574"
"6016000","8.199999928474426","8.199999928474426","8.199999928474426"
"6080000","8.699999928474426","8.699999928474426","8.699999928474426"
"6144000","9.269999861717224","9.269999861717224","9.269999861717224"
"6208000","8.789999961853027","8.789999961853027","8.789999961853027"
"6272000","9.890000104904175","9.890000104904175","9.890000104904175"
"6336000","9.519999980926514","9.519999980926514","9.519999980926514"
"6400000","8.490000009536743","8.490000009536743","8.490000009536743"
"6464000","7.800000071525574","7.800000071525574","7.800000071525574"
"6528000","7.439999938011169","7.439999938011169","7.439999938011169"
"6592000","7.759999990463257","7.759999990463257","7.759999990463257"
"6656000","8.28000009059906","8.28000009059906","8.28000009059906"
"6720000","9.449999928474426","9.449999928474426","9.449999928474426"
"6784000","9.110000014305115","9.110000014305115","9.110000014305115"
"6848000","8.849999904632568","8.849999904632568","8.849999904632568"
"6912000","8.740000009536743","8.740000009536743","8.740000009536743"
"6976000","10.02999997138977","10.02999997138977","10.02999997138977"
"7040000","10.02999997138977","10.02999997138977","10.02999997138977"
"7104000","9.25","9.25","9.25"
"7168000","9","9","9"
"7232000","9.549999952316284","9.549999952316284","9.549999952316284"
"7296000","8.639999985694885","8.639999985694885","8.639999985694885"
"7360000","8.06000006198883","8.06000006198883","8.06000006198883"
"7424000","8.119999885559082","8.119999885559082","8.119999885559082"
"7488000","7.800000071525574","7.800000071525574","7.800000071525574"
"7552000","7.949999928474426","7.949999928474426","7.949999928474426"
"7616000","7.649999976158142","7.649999976158142","7.649999976158142"
"7680000","7.240000009536743","7.240000009536743","7.240000009536743"
"7744000","6.609999895095825","6.609999895095825","6.609999895095825"
"7808000","7.129999995231628","7.129999995231628","7.129999995231628"
"7872000","7.620000123977661","7.620000123977661","7.620000123977661"
"7936000","8.670000076293945","8.670000076293945","8.670000076293945"
