"Step","harvest_original_cbam_causal - SW_ep_rew_total","harvest_original_cbam_causal - SW_ep_rew_total__MIN","harvest_original_cbam_causal - SW_ep_rew_total__MAX"
"9664000","642.6000061035156","642.6000061035156","642.6000061035156"
"9728000","641.7599945068359","641.7599945068359","641.7599945068359"
"9792000","649.2099990844727","649.2099990844727","649.2099990844727"
"9856000","645.0199966430664","645.0199966430664","645.0199966430664"
"9920000","631.5400085449219","631.5400085449219","631.5400085449219"
"9984000","638.1600036621094","638.1600036621094","638.1600036621094"
"10048000","644.5600204467773","644.5600204467773","644.5600204467773"
"10112000","632.6199951171875","632.6199951171875","632.6199951171875"
"10176000","637.1700057983398","637.1700057983398","637.1700057983398"
"10240000","635.2400054931641","635.2400054931641","635.2400054931641"
"10304000","649.75","649.75","649.75"
"10368000","652.2400054931641","652.2400054931641","652.2400054931641"
"10432000","643.4800033569336","643.4800033569336","643.4800033569336"
"10496000","650.3400039672852","650.3400039672852","650.3400039672852"
"10560000","639.9300155639648","639.9300155639648","639.9300155639648"
"10624000","630.9199981689453","630.9199981689453","630.9199981689453"
"10688000","635.8199996948242","635.8199996948242","635.8199996948242"
"10752000","627.879997253418","627.879997253418","627.879997253418"
"10816000","630.5099945068359","630.5099945068359","630.5099945068359"
"10880000","637.4900054931641","637.4900054931641","637.4900054931641"
"10944000","643.7700042724609","643.7700042724609","643.7700042724609"
"11008000","642.2200088500977","642.2200088500977","642.2200088500977"
"11072000","643.1700057983398","643.1700057983398","643.1700057983398"
"11136000","635.7699966430664","635.7699966430664","635.7699966430664"
"11200000","623.2200012207031","623.2200012207031","623.2200012207031"
"11264000","630.6500015258789","630.6500015258789","630.6500015258789"
"11328000","633.1599884033203","633.1599884033203","633.1599884033203"
"11392000","631.5299911499023","631.5299911499023","631.5299911499023"
"11456000","627.7900085449219","627.7900085449219","627.7900085449219"
"11520000","642.1800003051758","642.1800003051758","642.1800003051758"
"11584000","643.1299896240234","643.1299896240234","643.1299896240234"
"11648000","642.4900054931641","642.4900054931641","642.4900054931641"
"11712000","642.5300216674805","642.5300216674805","642.5300216674805"
"11776000","633.4900054931641","633.4900054931641","633.4900054931641"
"11840000","627.3100051879883","627.3100051879883","627.3100051879883"
"11904000","634.8499908447266","634.8499908447266","634.8499908447266"
"11968000","633.7200012207031","633.7200012207031","633.7200012207031"
"12032000","651.1699905395508","651.1699905395508","651.1699905395508"
"12096000","634.6300048828125","634.6300048828125","634.6300048828125"
"12160000","618.1300048828125","618.1300048828125","618.1300048828125"
"12224000","628.3500061035156","628.3500061035156","628.3500061035156"
"12288000","630.2299880981445","630.2299880981445","630.2299880981445"
"12352000","630.0999908447266","630.0999908447266","630.0999908447266"
"12416000","642.1800003051758","642.1800003051758","642.1800003051758"
"12480000","646.9199981689453","646.9199981689453","646.9199981689453"
"12544000","636.4899978637695","636.4899978637695","636.4899978637695"
"12608000","648.0899887084961","648.0899887084961","648.0899887084961"
"12672000","651.9399795532227","651.9399795532227","651.9399795532227"
"12736000","648.5099945068359","648.5099945068359","648.5099945068359"
"12800000","638.0599899291992","638.0599899291992","638.0599899291992"
"12864000","639.7900009155273","639.7900009155273","639.7900009155273"
"12928000","650.1600036621094","650.1600036621094","650.1600036621094"
"12992000","633.3100051879883","633.3100051879883","633.3100051879883"
"13056000","637.609992980957","637.609992980957","637.609992980957"
"13120000","646.9700012207031","646.9700012207031","646.9700012207031"
