"Step","Group: coin3_cf_modified_causal_independent_1_0.55 - SW_ep_rew_mean","Group: coin3_cf_modified_causal_independent_1_0.55 - SW_ep_rew_mean__MIN","Group: coin3_cf_modified_causal_independent_1_0.55 - SW_ep_rew_mean__MAX","Group: coin3_cf_team_independent_1_0.55 - SW_ep_rew_mean","Group: coin3_cf_team_independent_1_0.55 - SW_ep_rew_mean__MIN","Group: coin3_cf_team_independent_1_0.55 - SW_ep_rew_mean__MAX","Group: coin3_cf_discrete_causal_independent_1_0.55 - SW_ep_rew_mean","Group: coin3_cf_discrete_causal_independent_1_0.55 - SW_ep_rew_mean__MIN","Group: coin3_cf_discrete_causal_independent_1_0.55 - SW_ep_rew_mean__MAX","Group: coin3_cf_causal_independent_1_0.55 - SW_ep_rew_mean","Group: coin3_cf_causal_independent_1_0.55 - SW_ep_rew_mean__MIN","Group: coin3_cf_causal_independent_1_0.55 - SW_ep_rew_mean__MAX","Group: coin3_baseline_1 - SW_ep_rew_mean","Group: coin3_baseline_1 - SW_ep_rew_mean__MIN","Group: coin3_baseline_1 - SW_ep_rew_mean__MAX","Group: coin3_baseline_independent_1 - SW_ep_rew_mean","Group: coin3_baseline_independent_1 - SW_ep_rew_mean__MIN","Group: coin3_baseline_independent_1 - SW_ep_rew_mean__MAX"
"1152000","1.1233332951863606","1.1233332951863606","1.1233332951863606","-2.1766666173934937","-2.1766666173934937","-2.1766666173934937","-3.1466666658719378","-3.2466667095820108","-3.0466666221618652","-2.459999998410543","-2.459999998410543","-2.459999998410543","-3.7300000190734863","-3.7300000190734863","-3.7300000190734863","-1.7133332987626393","-1.7133332987626393","-1.7133332987626393"
"1200000","","","","","","","","","","","","","","","","-1.526666725675265","-1.526666725675265","-1.526666725675265"
"1216000","0.6600000858306885","0.6600000858306885","0.6600000858306885","-1.4133333365122478","-1.4133333365122478","-1.4133333365122478","-3.006666660308838","-3.0300000508626304","-2.9833332697550454","-2.2533333152532578","-2.2533333152532578","-2.2533333152532578","","","","","",""
"1224000","","","","","","","","","","","","","-2.25","-2.25","-2.25","","",""
"1248000","","","","","","","","","","","","","","","","-1.4800000861287117","-1.4800000861287117","-1.4800000861287117"
"1280000","1.3133333524068196","1.3133333524068196","1.3133333524068196","-1.40666667620341","-1.40666667620341","-1.40666667620341","-2.9266666372617087","-3.1466666062672934","-2.706666668256124","-3.2600000301996865","-3.2600000301996865","-3.2600000301996865","","","","","",""
"1296000","","","","","","","","","","","","","-3.4000000953674316","-3.4000000953674316","-3.4000000953674316","-1.853333314259847","-1.853333314259847","-1.853333314259847"
"1344000","1.2400000890096028","1.2400000890096028","1.2400000890096028","-1.6933333178361256","-1.6933333178361256","-1.6933333178361256","-2.9566666881243386","-3.1200000445048013","-2.793333331743876","-2.9333333571751914","-2.9333333571751914","-2.9333333571751914","","","","-1.8400000433127086","-1.8400000433127086","-1.8400000433127086"
"1368000","","","","","","","","","","","","","-2.809999942779541","-2.809999942779541","-2.809999942779541","","",""
"1392000","","","","","","","","","","","","","","","","-1.6333333651224773","-1.6333333651224773","-1.6333333651224773"
"1408000","1.81333327293396","1.81333327293396","1.81333327293396","-1.3633333543936412","-1.3633333543936412","-1.3633333543936412","-2.93666672706604","-3.0266667207082114","-2.8466667334238687","-2.9266666968663535","-2.9266666968663535","-2.9266666968663535","","","","","",""
"1440000","","","","","","","","","","","","","-1.850000023841858","-1.850000023841858","-1.850000023841858","-2.2200000087420144","-2.2200000087420144","-2.2200000087420144"
"1472000","1.7633333206176758","1.7633333206176758","1.7633333206176758","-1.9066666563351948","-1.9066666563351948","-1.9066666563351948","-2.963333348433177","-3.0733333428700766","-2.853333353996277","-3.6633333365122476","-3.6633333365122476","-3.6633333365122476","","","","","",""
"1488000","","","","","","","","","","","","","","","","-1.3600000341733296","-1.3600000341733296","-1.3600000341733296"
"1512000","","","","","","","","","","","","","-2.1700000762939453","-2.1700000762939453","-2.1700000762939453","","",""
"1536000","1.690000057220459","1.690000057220459","1.690000057220459","-1.2266666491826375","-1.2266666491826375","-1.2266666491826375","-2.976666728655497","-3.0466667811075845","-2.9066666762034097","-2.7733333011468253","-2.7733333011468253","-2.7733333011468253","","","","-1.399999996026357","-1.399999996026357","-1.399999996026357"
"1584000","","","","","","","","","","","","","-3.630000114440918","-3.630000114440918","-3.630000114440918","-2.9199999968210855","-2.9199999968210855","-2.9199999968210855"
"1600000","1.9133334159851074","1.9133334159851074","1.9133334159851074","-1.1333332856496174","-1.1333332856496174","-1.1333332856496174","-3.013333320617676","-3.099999984105428","-2.9266666571299234","-3.0933333237965903","-3.0933333237965903","-3.0933333237965903","","","","","",""
"1632000","","","","","","","","","","","","","","","","-1.4733333860834439","-1.4733333860834439","-1.4733333860834439"
"1656000","","","","","","","","","","","","","-2.759999990463257","-2.759999990463257","-2.759999990463257","","",""
"1664000","1.6866666475931804","1.6866666475931804","1.6866666475931804","-1.2133333086967468","-1.2133333086967468","-1.2133333086967468","-2.561666657527288","-2.8933332761128745","-2.2300000389417014","-3.259999990463257","-3.259999990463257","-3.259999990463257","","","","","",""
"1680000","","","","","","","","","","","","","","","","-1.6466666956742604","-1.6466666956742604","-1.6466666956742604"
"1728000","2.319999853769938","2.319999853769938","2.319999853769938","-1.8800000349680583","-1.8800000349680583","-1.8800000349680583","-3.136666735013326","-3.253333409627279","-3.0200000603993735","-2.626666704813639","-2.626666704813639","-2.626666704813639","-3.059999942779541","-3.059999942779541","-3.059999942779541","-1.7666666309038799","-1.7666666309038799","-1.7666666309038799"
"1776000","","","","","","","","","","","","","","","","-1.0466666022936504","-1.0466666022936504","-1.0466666022936504"
"1792000","1.933333396911621","1.933333396911621","1.933333396911621","-1.0333333015441895","-1.0333333015441895","-1.0333333015441895","-2.5416667064030967","-2.6866666873296103","-2.396666725476583","-2.0066667000452676","-2.0066667000452676","-2.0066667000452676","","","","","",""
"1800000","","","","","","","","","","","","","-2.309999942779541","-2.309999942779541","-2.309999942779541","","",""
"1824000","","","","","","","","","","","","","","","","-1.0266666809717815","-1.0266666809717815","-1.0266666809717815"
"1856000","2.086666742960612","2.086666742960612","2.086666742960612","-0.8300000429153442","-0.8300000429153442","-0.8300000429153442","-2.716666688521703","-2.7600000898043313","-2.6733332872390747","-2.8333333333333335","-2.8333333333333335","-2.8333333333333335","","","","","",""
"1872000","","","","","","","","","","","","","-2.8299999237060547","-2.8299999237060547","-2.8299999237060547","-1.1733332773049672","-1.1733332773049672","-1.1733332773049672"
"1920000","2.1533335049947104","2.1533335049947104","2.1533335049947104","-1.6533334056536357","-1.6533334056536357","-1.6533334056536357","-2.5850000381469727","-2.680000066757202","-2.490000009536743","-2.8400000731150308","-2.8400000731150308","-2.8400000731150308","","","","-1.1600000113248825","-1.1600000113248825","-1.1600000113248825"
"1944000","","","","","","","","","","","","","-4.210000038146973","-4.210000038146973","-4.210000038146973","","",""
"1968000","","","","","","","","","","","","","","","","-1.3133333524068196","-1.3133333524068196","-1.3133333524068196"
