"Step","lbf10_cbamsvo - SW_ep_rew_total","lbf10_cbamsvo - SW_ep_rew_total__MIN","lbf10_cbamsvo - SW_ep_rew_total__MAX"
"5888000","33.34000205993652","33.34000205993652","33.34000205993652"
"5952000","33.54000186920166","33.54000186920166","33.54000186920166"
"6016000","32.1800000667572","32.1800000667572","32.1800000667572"
"6080000","32.73999786376953","32.73999786376953","32.73999786376953"
"6144000","33.44000244140625","33.44000244140625","33.44000244140625"
"6208000","32.45999813079834","32.45999813079834","32.45999813079834"
"6272000","30.62000322341919","30.62000322341919","30.62000322341919"
"6336000","32.19999861717224","32.19999861717224","32.19999861717224"
"6400000","34.100001096725464","34.100001096725464","34.100001096725464"
"6464000","34.22000050544739","34.22000050544739","34.22000050544739"
"6528000","32.919999837875366","32.919999837875366","32.919999837875366"
"6592000","32.580002546310425","32.580002546310425","32.580002546310425"
"6656000","33.38000011444092","33.38000011444092","33.38000011444092"
