"Step","coin4_cbamsvo - SW_ep_rew_total","coin4_cbamsvo - SW_ep_rew_total__MIN","coin4_cbamsvo - SW_ep_rew_total__MAX"
"8000000","-14.360000610351562","-14.360000610351562","-14.360000610351562"
"8064000","-14.18000078201294","-14.18000078201294","-14.18000078201294"
"8128000","-13.71999979019165","-13.71999979019165","-13.71999979019165"
"8192000","-13.320000171661377","-13.320000171661377","-13.320000171661377"
"8256000","-14.759999752044678","-14.759999752044678","-14.759999752044678"
"8320000","-14.40000057220459","-14.40000057220459","-14.40000057220459"
"8384000","-14.139999389648438","-14.139999389648438","-14.139999389648438"
"8448000","-13.920000553131104","-13.920000553131104","-13.920000553131104"
"8512000","-13.860000133514404","-13.860000133514404","-13.860000133514404"
"8576000","-14.28000020980835","-14.28000020980835","-14.28000020980835"
"8640000","-13.800000190734863","-13.800000190734863","-13.800000190734863"
"8704000","-15.28000020980835","-15.28000020980835","-15.28000020980835"
"8768000","-13.799999237060547","-13.799999237060547","-13.799999237060547"
"8832000","-14.699999809265137","-14.699999809265137","-14.699999809265137"
"8896000","-12.919999599456787","-12.919999599456787","-12.919999599456787"
"8960000","-12.680000066757202","-12.680000066757202","-12.680000066757202"
"9024000","-14.680000305175781","-14.680000305175781","-14.680000305175781"
"9088000","-14.12000036239624","-14.12000036239624","-14.12000036239624"
"9152000","-14.259999990463257","-14.259999990463257","-14.259999990463257"
"9216000","-13.639999389648438","-13.639999389648438","-13.639999389648438"
"9280000","-13.019999980926514","-13.019999980926514","-13.019999980926514"
"9344000","-13.660000324249268","-13.660000324249268","-13.660000324249268"
"9408000","-13.179999351501465","-13.179999351501465","-13.179999351501465"
"9472000","-14.78000020980835","-14.78000020980835","-14.78000020980835"
"9536000","-13.680000305175781","-13.680000305175781","-13.680000305175781"
"9600000","-14.160000324249268","-14.160000324249268","-14.160000324249268"
"9664000","-12.720000267028809","-12.720000267028809","-12.720000267028809"
"9728000","-13.820000648498535","-13.820000648498535","-13.820000648498535"
"9792000","-14.539999961853027","-14.539999961853027","-14.539999961853027"
"9856000","-14.080000877380371","-14.080000877380371","-14.080000877380371"
"9920000","-13.34000039100647","-13.34000039100647","-13.34000039100647"
"9984000","-13.739999771118164","-13.739999771118164","-13.739999771118164"
"10048000","-14.640000343322754","-14.640000343322754","-14.640000343322754"
"10112000","-14.619999885559082","-14.619999885559082","-14.619999885559082"
"10176000","-12.84000015258789","-12.84000015258789","-12.84000015258789"
"10240000","-14.259999752044678","-14.259999752044678","-14.259999752044678"
"10304000","-14.460000038146973","-14.460000038146973","-14.460000038146973"
"10368000","-14.599999904632568","-14.599999904632568","-14.599999904632568"
"10432000","-14.87999963760376","-14.87999963760376","-14.87999963760376"
"10496000","-13.080000400543213","-13.080000400543213","-13.080000400543213"
