"Step","Job Type: training - SW_ep_rew_total","Job Type: training - SW_ep_rew_total__MIN","Job Type: training - SW_ep_rew_total__MAX"
"2688000","26.280002117156982","26.280002117156982","26.280002117156982"
"2752000","26.435999393463135","26.435999393463135","26.435999393463135"
"2816000","26.111999034881592","26.111999034881592","26.111999034881592"
"2880000","26.531999111175537","26.531999111175537","26.531999111175537"
"2944000","26.687999725341797","26.687999725341797","26.687999725341797"
"3008000","26.37599802017212","26.37599802017212","26.37599802017212"
"3072000","26.3999981880188","26.3999981880188","26.3999981880188"
"3136000","26.075998783111572","26.075998783111572","26.075998783111572"
"3200000","26.364001750946045","26.364001750946045","26.364001750946045"
"3264000","27.000000476837158","27.000000476837158","27.000000476837158"
"3328000","26.388000965118408","26.388000965118408","26.388000965118408"
"3392000","26.100001335144043","26.100001335144043","26.100001335144043"
"3456000","25.776000499725342","25.776000499725342","25.776000499725342"
"3520000","26.56799840927124","26.56799840927124","26.56799840927124"
"3584000","27.468000888824463","27.468000888824463","27.468000888824463"
"3648000","27.071999549865723","27.071999549865723","27.071999549865723"
"3712000","26.85599946975708","26.85599946975708","26.85599946975708"
"3776000","27.01199960708618","27.01199960708618","27.01199960708618"
"3840000","26.67599868774414","26.67599868774414","26.67599868774414"
"3904000","25.667998790740967","25.667998790740967","25.667998790740967"
"3968000","25.775999546051025","25.775999546051025","25.775999546051025"
"4032000","26.279999256134033","26.279999256134033","26.279999256134033"
"4096000","26.92799997329712","26.92799997329712","26.92799997329712"
"4160000","26.423999309539795","26.423999309539795","26.423999309539795"
"4224000","25.70400094985962","25.70400094985962","25.70400094985962"
"4288000","26.315999031066895","26.315999031066895","26.315999031066895"
"4352000","26.747997760772705","26.747997760772705","26.747997760772705"
"4416000","26.723998546600342","26.723998546600342","26.723998546600342"
"4480000","26.65200185775757","26.65200185775757","26.65200185775757"
"4544000","26.208000659942627","26.208000659942627","26.208000659942627"
"4608000","26.79599952697754","26.79599952697754","26.79599952697754"
"4672000","26.963998794555664","26.963998794555664","26.963998794555664"
"4736000","26.8919997215271","26.8919997215271","26.8919997215271"
"4800000","27.179998874664307","27.179998874664307","27.179998874664307"
"4864000","27.575997829437256","27.575997829437256","27.575997829437256"
"4928000","26.89199924468994","26.89199924468994","26.89199924468994"
"4992000","27.44399881362915","27.44399881362915","27.44399881362915"
"5056000","27.70799970626831","27.70799970626831","27.70799970626831"
"5120000","27.660000801086426","27.660000801086426","27.660000801086426"
"5184000","26.86799955368042","26.86799955368042","26.86799955368042"
"5248000","27.251999855041504","27.251999855041504","27.251999855041504"
"5312000","27.684000968933105","27.684000968933105","27.684000968933105"
"5376000","27.64800262451172","27.64800262451172","27.64800262451172"
"5440000","27.503999710083008","27.503999710083008","27.503999710083008"
"5504000","27.25199794769287","27.25199794769287","27.25199794769287"
"5568000","27.600001335144043","27.600001335144043","27.600001335144043"
"5632000","27.672000408172607","27.672000408172607","27.672000408172607"
"5696000","27.65999984741211","27.65999984741211","27.65999984741211"
"5760000","27.396000385284424","27.396000385284424","27.396000385284424"
"5824000","27.359999179840088","27.359999179840088","27.359999179840088"
"5888000","27.575998306274414","27.575998306274414","27.575998306274414"
"5952000","27.28800106048584","27.28800106048584","27.28800106048584"
"6016000","27.39600133895874","27.39600133895874","27.39600133895874"
"6080000","27.792000770568848","27.792000770568848","27.792000770568848"
"6144000","28.76400136947632","28.76400136947632","28.76400136947632"
"6208000","28.63199758529663","28.63199758529663","28.63199758529663"
"6272000","28.547999382019043","28.547999382019043","28.547999382019043"
"6336000","28.079999446868896","28.079999446868896","28.079999446868896"
"6400000","28.116000175476074","28.116000175476074","28.116000175476074"
"6464000","28.51200008392334","28.51200008392334","28.51200008392334"
"6528000","28.54799747467041","28.54799747467041","28.54799747467041"
"6592000","28.452001571655273","28.452001571655273","28.452001571655273"
"6656000","28.6560001373291","28.6560001373291","28.6560001373291"
