"Step","Group: cleanup_cf_modified_baseline_independent_1_0.55_inequity_averse_False_collective_False - SW_ep_rew_total","Group: cleanup_cf_modified_baseline_independent_1_0.55_inequity_averse_False_collective_False - SW_ep_rew_total__MIN","Group: cleanup_cf_modified_baseline_independent_1_0.55_inequity_averse_False_collective_False - SW_ep_rew_total__MAX"
"3392000","15.740000247955322","15.740000247955322","15.740000247955322"
"3456000","19.550000190734863","19.550000190734863","19.550000190734863"
"3520000","21.78000044822693","21.78000044822693","21.78000044822693"
"3584000","20.519999980926514","20.519999980926514","20.519999980926514"
"3648000","20.769999980926514","20.769999980926514","20.769999980926514"
"3712000","19.25","19.25","19.25"
"3776000","15.269999980926514","15.269999980926514","15.269999980926514"
"3840000","17.950000047683716","17.950000047683716","17.950000047683716"
"3904000","20.390000104904175","20.390000104904175","20.390000104904175"
"3968000","20.699999809265137","20.699999809265137","20.699999809265137"
"4032000","20.18000030517578","20.18000030517578","20.18000030517578"
"4096000","21.759999752044678","21.759999752044678","21.759999752044678"
"4160000","23.34000015258789","23.34000015258789","23.34000015258789"
"4224000","24.009999752044678","24.009999752044678","24.009999752044678"
"4288000","22.540000200271606","22.540000200271606","22.540000200271606"
"4352000","20.710000038146973","20.710000038146973","20.710000038146973"
"4416000","20.950000286102295","20.950000286102295","20.950000286102295"
"4480000","19.77999997138977","19.77999997138977","19.77999997138977"
"4544000","21.81999969482422","21.81999969482422","21.81999969482422"
"4608000","23.81999945640564","23.81999945640564","23.81999945640564"
"4672000","22.169999837875366","22.169999837875366","22.169999837875366"
"4736000","22.270000219345093","22.270000219345093","22.270000219345093"
"4800000","24.420000076293945","24.420000076293945","24.420000076293945"
"4864000","22.199999809265137","22.199999809265137","22.199999809265137"
"4928000","20.83999991416931","20.83999991416931","20.83999991416931"
"4992000","23.16000008583069","23.16000008583069","23.16000008583069"
"5056000","22.390000581741333","22.390000581741333","22.390000581741333"
"5120000","20.28999972343445","20.28999972343445","20.28999972343445"
"5184000","18.669999837875366","18.669999837875366","18.669999837875366"
"5248000","20.149999618530273","20.149999618530273","20.149999618530273"
"5312000","22.200000047683716","22.200000047683716","22.200000047683716"
"5376000","19.75000023841858","19.75000023841858","19.75000023841858"
"5440000","17.59999966621399","17.59999966621399","17.59999966621399"
"5504000","19.329999923706055","19.329999923706055","19.329999923706055"
"5568000","21.78000044822693","21.78000044822693","21.78000044822693"
"5632000","22.710000038146973","22.710000038146973","22.710000038146973"
"5696000","21.919999361038208","21.919999361038208","21.919999361038208"
"5760000","24.28999972343445","24.28999972343445","24.28999972343445"
"5824000","26.06000018119812","26.06000018119812","26.06000018119812"
"5888000","25.990000247955322","25.990000247955322","25.990000247955322"
"5952000","23.079999446868896","23.079999446868896","23.079999446868896"
"6016000","20.15000009536743","20.15000009536743","20.15000009536743"
"6080000","21.87999987602234","21.87999987602234","21.87999987602234"
"6144000","24.830000400543213","24.830000400543213","24.830000400543213"
"6208000","26.190000534057617","26.190000534057617","26.190000534057617"
