"Step","Job Type: training - SW_ep_rew_total","Job Type: training - SW_ep_rew_total__MIN","Job Type: training - SW_ep_rew_total__MAX"
"11968000","708.4008026123047","708.4008026123047","708.4008026123047"
"12032000","680.9707641601562","680.9707641601562","680.9707641601562"
"12096000","672.5307006835938","672.5307006835938","672.5307006835938"
"12160000","664.6255798339844","664.6255798339844","664.6255798339844"
"12224000","684.5631866455078","684.5631866455078","684.5631866455078"
"12288000","681.4157562255859","681.4157562255859","681.4157562255859"
"12352000","703.6307983398438","703.6307983398438","703.6307983398438"
"12416000","688.0857391357422","688.0857391357422","688.0857391357422"
"12480000","620.4905471801758","620.4905471801758","620.4905471801758"
"12544000","635.7605972290039","635.7605972290039","635.7605972290039"
"12608000","675.1332550048828","675.1332550048828","675.1332550048828"
"12672000","687.7507476806641","687.7507476806641","687.7507476806641"
"12736000","698.5832824707031","698.5832824707031","698.5832824707031"
"12800000","717.1407623291016","717.1407623291016","717.1407623291016"
"12864000","707.7257995605469","707.7257995605469","707.7257995605469"
"12928000","700.3332824707031","700.3332824707031","700.3332824707031"
"12992000","704.3257446289062","704.3257446289062","704.3257446289062"
"13056000","696.6282196044922","696.6282196044922","696.6282196044922"
"13120000","703.6583251953125","703.6583251953125","703.6583251953125"
"13184000","678.7457580566406","678.7457580566406","678.7457580566406"
"13248000","691.4957427978516","691.4957427978516","691.4957427978516"
"13312000","698.3032684326172","698.3032684326172","698.3032684326172"
"13376000","720.6283111572266","720.6283111572266","720.6283111572266"
"13440000","682.5507202148438","682.5507202148438","682.5507202148438"
"13504000","697.8257446289062","697.8257446289062","697.8257446289062"
"13568000","715.0633392333984","715.0633392333984","715.0633392333984"
"13632000","729.3733978271484","729.3733978271484","729.3733978271484"
"13696000","765.095947265625","765.095947265625","765.095947265625"
"13760000","729.9957885742188","729.9957885742188","729.9957885742188"
"13824000","712.4407653808594","712.4407653808594","712.4407653808594"
"13888000","724.6533508300781","724.6533508300781","724.6533508300781"
"13952000","745.9208679199219","745.9208679199219","745.9208679199219"
"14016000","738.3657989501953","738.3657989501953","738.3657989501953"
"14080000","737.7433776855469","737.7433776855469","737.7433776855469"
"14144000","722.1708221435547","722.1708221435547","722.1708221435547"
"14208000","759.7883453369141","759.7883453369141","759.7883453369141"
"14272000","726.5158233642578","726.5158233642578","726.5158233642578"
"14336000","743.9058990478516","743.9058990478516","743.9058990478516"
"14400000","712.725830078125","712.725830078125","712.725830078125"
"14464000","661.7356872558594","661.7356872558594","661.7356872558594"
"14528000","674.8532562255859","674.8532562255859","674.8532562255859"
"14592000","691.9131622314453","691.9131622314453","691.9131622314453"
"14656000","655.8881988525391","655.8881988525391","655.8881988525391"
"14720000","667.0231781005859","667.0231781005859","667.0231781005859"
"14784000","683.0606842041016","683.0606842041016","683.0606842041016"
"14848000","714.6558074951172","714.6558074951172","714.6558074951172"
"14912000","683.0257110595703","683.0257110595703","683.0257110595703"
"14976000","632.2681427001953","632.2681427001953","632.2681427001953"
"15040000","665.8531646728516","665.8531646728516","665.8531646728516"
"15104000","680.6932373046875","680.6932373046875","680.6932373046875"
"15168000","680.9756927490234","680.9756927490234","680.9756927490234"
"15232000","688.5307312011719","688.5307312011719","688.5307312011719"
"15296000","672.5657272338867","672.5657272338867","672.5657272338867"
"15360000","685.3882751464844","685.3882751464844","685.3882751464844"
"15424000","707.8232421875","707.8232421875","707.8232421875"
"15488000","727.7557830810547","727.7557830810547","727.7557830810547"
"15552000","740.7958831787109","740.7958831787109","740.7958831787109"
"15616000","750.9333801269531","750.9333801269531","750.9333801269531"
"15680000","762.6984558105469","762.6984558105469","762.6984558105469"
"15744000","781.3334808349609","781.3334808349609","781.3334808349609"
"15808000","757.0009460449219","757.0009460449219","757.0009460449219"
"15872000","726.2858276367188","726.2858276367188","726.2858276367188"
"15936000","740.8908996582031","740.8908996582031","740.8908996582031"
"16000000","743.5458221435547","743.5458221435547","743.5458221435547"
"16064000","721.6158752441406","721.6158752441406","721.6158752441406"
"16128000","725.9283294677734","725.9283294677734","725.9283294677734"
"16192000","675.2381744384766","675.2381744384766","675.2381744384766"
"16256000","660.3532257080078","660.3532257080078","660.3532257080078"
"16320000","682.6831817626953","682.6831817626953","682.6831817626953"
"16384000","720.2657775878906","720.2657775878906","720.2657775878906"
"16448000","705.2957611083984","705.2957611083984","705.2957611083984"
"16512000","709.5282745361328","709.5282745361328","709.5282745361328"
"16576000","734.8233337402344","734.8233337402344","734.8233337402344"
