"Step","lbf10_cbamsvo - SW_ep_rew_total","lbf10_cbamsvo - SW_ep_rew_total__MIN","lbf10_cbamsvo - SW_ep_rew_total__MAX"
"5888000","33.06000208854675","33.06000208854675","33.06000208854675"
"5952000","32.55999970436096","32.55999970436096","32.55999970436096"
"6016000","31.69999933242798","31.69999933242798","31.69999933242798"
"6080000","32.88000202178955","32.88000202178955","32.88000202178955"
"6144000","33.3299994468689","33.3299994468689","33.3299994468689"
"6208000","33.340001583099365","33.340001583099365","33.340001583099365"
"6272000","32.920000314712524","32.920000314712524","32.920000314712524"
"6336000","33.83999991416931","33.83999991416931","33.83999991416931"
"6400000","33.339999198913574","33.339999198913574","33.339999198913574"
"6464000","33.76000213623047","33.76000213623047","33.76000213623047"
"6528000","32.7400004863739","32.7400004863739","32.7400004863739"
"6592000","32.84000205993652","32.84000205993652","32.84000205993652"
"6656000","33.160000801086426","33.160000801086426","33.160000801086426"
