"Step","lbf10_cbaminequity_aversion - SW_ep_rew_total","lbf10_cbaminequity_aversion - SW_ep_rew_total__MIN","lbf10_cbaminequity_aversion - SW_ep_rew_total__MAX"
"5824000","10.989999532699585","10.989999532699585","10.989999532699585"
"5888000","12.480001211166382","12.480001211166382","12.480001211166382"
"5952000","13.25","13.25","13.25"
"6016000","14.770000338554382","14.770000338554382","14.770000338554382"
"6080000","14.359999656677246","14.359999656677246","14.359999656677246"
"6144000","14.31000018119812","14.31000018119812","14.31000018119812"
"6208000","14.310000658035278","14.310000658035278","14.310000658035278"
"6272000","12.46999990940094","12.46999990940094","12.46999990940094"
"6336000","13.229999542236328","13.229999542236328","13.229999542236328"
"6400000","13.089999794960022","13.089999794960022","13.089999794960022"
"6464000","12.410000562667847","12.410000562667847","12.410000562667847"
"6528000","13.339999675750732","13.339999675750732","13.339999675750732"
"6592000","10.390000581741333","10.390000581741333","10.390000581741333"
"6656000","9.929999947547913","9.929999947547913","9.929999947547913"
