"Step","harvest_cbambaseline - SW_ep_rew_total","harvest_cbambaseline - SW_ep_rew_total__MIN","harvest_cbambaseline - SW_ep_rew_total__MAX"
"7104000","153.64999961853027","153.64999961853027","153.64999961853027"
"7168000","153.32000160217285","153.32000160217285","153.32000160217285"
"7232000","153.4600009918213","153.4600009918213","153.4600009918213"
"7296000","153.7599983215332","153.7599983215332","153.7599983215332"
"7360000","154.35999870300293","154.35999870300293","154.35999870300293"
"7424000","154.5","154.5","154.5"
"7488000","154.5099983215332","154.5099983215332","154.5099983215332"
"7552000","154.19000244140625","154.19000244140625","154.19000244140625"
"7616000","153.82000160217285","153.82000160217285","153.82000160217285"
"7680000","153.9099998474121","153.9099998474121","153.9099998474121"
"7744000","153.75","153.75","153.75"
"7808000","153.3599967956543","153.3599967956543","153.3599967956543"
"7872000","153.36999893188477","153.36999893188477","153.36999893188477"
"7936000","154.56000137329102","154.56000137329102","154.56000137329102"
"8000000","154.48999977111816","154.48999977111816","154.48999977111816"
"8064000","154.3499984741211","154.3499984741211","154.3499984741211"
"8128000","154.3700008392334","154.3700008392334","154.3700008392334"
"8192000","154.5699977874756","154.5699977874756","154.5699977874756"
"8256000","153.98000144958496","153.98000144958496","153.98000144958496"
"8320000","154.3700008392334","154.3700008392334","154.3700008392334"
"8384000","154.52999687194824","154.52999687194824","154.52999687194824"
"8448000","154.01999855041504","154.01999855041504","154.01999855041504"
"8512000","154","154","154"
"8576000","154.5300006866455","154.5300006866455","154.5300006866455"
"8640000","154","154","154"
"8704000","154.04999923706055","154.04999923706055","154.04999923706055"
"8768000","154.56000328063965","154.56000328063965","154.56000328063965"
"8832000","153.8700008392334","153.8700008392334","153.8700008392334"
"8896000","154.3700008392334","154.3700008392334","154.3700008392334"
"8960000","154.43000030517578","154.43000030517578","154.43000030517578"
"9024000","154.47000122070312","154.47000122070312","154.47000122070312"
"9088000","154.01000022888184","154.01000022888184","154.01000022888184"
"9152000","154.05999946594238","154.05999946594238","154.05999946594238"
"9216000","154.64999961853027","154.64999961853027","154.64999961853027"
"9280000","154.56999969482422","154.56999969482422","154.56999969482422"
"9344000","154.61000061035156","154.61000061035156","154.61000061035156"
"9408000","154.5300006866455","154.5300006866455","154.5300006866455"
"9472000","154.51000022888184","154.51000022888184","154.51000022888184"
"9536000","154.51000213623047","154.51000213623047","154.51000213623047"
"9600000","154.68000030517578","154.68000030517578","154.68000030517578"
"9664000","154.19000244140625","154.19000244140625","154.19000244140625"
"9728000","154.2100009918213","154.2100009918213","154.2100009918213"
"9792000","154.70999908447266","154.70999908447266","154.70999908447266"
"9856000","154.19000053405762","154.19000053405762","154.19000053405762"
"9920000","154.02999877929688","154.02999877929688","154.02999877929688"
"9984000","154.60000038146973","154.60000038146973","154.60000038146973"
"10048000","154.67999839782715","154.67999839782715","154.67999839782715"
