"Step","harvest_original_cbam_causal - SW_ep_rew_total","harvest_original_cbam_causal - SW_ep_rew_total__MIN","harvest_original_cbam_causal - SW_ep_rew_total__MAX"
"2688000","557.2299880981445","557.2299880981445","557.2299880981445"
"2752000","563.1999969482422","563.1999969482422","563.1999969482422"
"2816000","582.0200042724609","582.0200042724609","582.0200042724609"
"2880000","583.9700012207031","583.9700012207031","583.9700012207031"
"2944000","582.5000076293945","582.5000076293945","582.5000076293945"
"3008000","583.9300003051758","583.9300003051758","583.9300003051758"
"3072000","595.9999923706055","595.9999923706055","595.9999923706055"
"3136000","601.370002746582","601.370002746582","601.370002746582"
"3200000","618.6500015258789","618.6500015258789","618.6500015258789"
"3264000","612.4799957275391","612.4799957275391","612.4799957275391"
"3328000","613.629997253418","613.629997253418","613.629997253418"
"3392000","612.7800140380859","612.7800140380859","612.7800140380859"
"3456000","609.4200057983398","609.4200057983398","609.4200057983398"
"3520000","613.1499938964844","613.1499938964844","613.1499938964844"
"3584000","617.5899963378906","617.5899963378906","617.5899963378906"
"3648000","621.6800003051758","621.6800003051758","621.6800003051758"
"3712000","630.4700012207031","630.4700012207031","630.4700012207031"
"3776000","619.8700103759766","619.8700103759766","619.8700103759766"
"3840000","608.75","608.75","608.75"
"3904000","612.6999969482422","612.6999969482422","612.6999969482422"
"3968000","620.0400085449219","620.0400085449219","620.0400085449219"
"4032000","627.7799987792969","627.7799987792969","627.7799987792969"
"4096000","622.1100082397461","622.1100082397461","622.1100082397461"
"4160000","606.5699920654297","606.5699920654297","606.5699920654297"
"4224000","603.1900024414062","603.1900024414062","603.1900024414062"
"4288000","614.5","614.5","614.5"
"4352000","617.3299865722656","617.3299865722656","617.3299865722656"
"4416000","638.5199966430664","638.5199966430664","638.5199966430664"
"4480000","623.640007019043","623.640007019043","623.640007019043"
"4544000","613.1199951171875","613.1199951171875","613.1199951171875"
"4608000","617.640007019043","617.640007019043","617.640007019043"
"4672000","615.2099990844727","615.2099990844727","615.2099990844727"
"4736000","628.8500061035156","628.8500061035156","628.8500061035156"
"4800000","641.0699996948242","641.0699996948242","641.0699996948242"
"4864000","631.359992980957","631.359992980957","631.359992980957"
"4928000","642.9000015258789","642.9000015258789","642.9000015258789"
"4992000","657.0899810791016","657.0899810791016","657.0899810791016"
"5056000","642.7500152587891","642.7500152587891","642.7500152587891"
"5120000","647.4699935913086","647.4699935913086","647.4699935913086"
"5184000","660.4800033569336","660.4800033569336","660.4800033569336"
"5248000","658.3300018310547","658.3300018310547","658.3300018310547"
"5312000","645.7699890136719","645.7699890136719","645.7699890136719"
"5376000","636.1600036621094","636.1600036621094","636.1600036621094"
"5440000","643.1800003051758","643.1800003051758","643.1800003051758"
"5504000","640.8399887084961","640.8399887084961","640.8399887084961"
"5568000","637.3099975585938","637.3099975585938","637.3099975585938"
"5632000","629.6899871826172","629.6899871826172","629.6899871826172"
"5696000","638.5899963378906","638.5899963378906","638.5899963378906"
"5760000","637.629997253418","637.629997253418","637.629997253418"
"5824000","646.6900024414062","646.6900024414062","646.6900024414062"
"5888000","641.119987487793","641.119987487793","641.119987487793"
"5952000","641.1799850463867","641.1799850463867","641.1799850463867"
"6016000","645.379997253418","645.379997253418","645.379997253418"
"6080000","639.9400024414062","639.9400024414062","639.9400024414062"
"6144000","643.8600006103516","643.8600006103516","643.8600006103516"
"6208000","645.3999938964844","645.3999938964844","645.3999938964844"
"6272000","645.739990234375","645.739990234375","645.739990234375"
"6336000","642.7699890136719","642.7699890136719","642.7699890136719"
"6400000","639.1999969482422","639.1999969482422","639.1999969482422"
"6464000","646.2099914550781","646.2099914550781","646.2099914550781"
"6528000","652.0099945068359","652.0099945068359","652.0099945068359"
"6592000","646.8300170898438","646.8300170898438","646.8300170898438"
"6656000","649.4400100708008","649.4400100708008","649.4400100708008"
"6720000","655.7100219726562","655.7100219726562","655.7100219726562"
