"Step","harvest_original_cbam_baseline - SW_ep_rew_total","harvest_original_cbam_baseline - SW_ep_rew_total__MIN","harvest_original_cbam_baseline - SW_ep_rew_total__MAX"
"10240000","-27.799999676644802","-27.799999676644802","-27.799999676644802"
"10304000","-46.410000801086426","-46.410000801086426","-46.410000801086426"
"10368000","-26.440001010894775","-26.440001010894775","-26.440001010894775"
"10432000","-40.040000915527344","-40.040000915527344","-40.040000915527344"
"10496000","-69.72000324726105","-69.72000324726105","-69.72000324726105"
"10560000","-48.150000005960464","-48.150000005960464","-48.150000005960464"
"10624000","-6.139999747276306","-6.139999747276306","-6.139999747276306"
"10688000","2.219999313354492","2.219999313354492","2.219999313354492"
"10752000","-18.78999924659729","-18.78999924659729","-18.78999924659729"
"10816000","-26.829999923706055","-26.829999923706055","-26.829999923706055"
"10880000","7.25","7.25","7.25"
"10944000","-3.6899996995925903","-3.6899996995925903","-3.6899996995925903"
"11008000","8.500000953674316","8.500000953674316","8.500000953674316"
"11072000","-29.660001397132874","-29.660001397132874","-29.660001397132874"
"11136000","-38.81000065803528","-38.81000065803528","-38.81000065803528"
"11200000","-31.639999508857727","-31.639999508857727","-31.639999508857727"
"11264000","17.39000004529953","17.39000004529953","17.39000004529953"
"11328000","22.18000078201294","22.18000078201294","22.18000078201294"
"11392000","3.6499999165534973","3.6499999165534973","3.6499999165534973"
"11456000","8.349999904632568","8.349999904632568","8.349999904632568"
"11520000","14.990000247955322","14.990000247955322","14.990000247955322"
"11584000","-4.140000095590949","-4.140000095590949","-4.140000095590949"
"11648000","17.65999984741211","17.65999984741211","17.65999984741211"
"11712000","38.1199996471405","38.1199996471405","38.1199996471405"
"11776000","36.35000038146973","36.35000038146973","36.35000038146973"
"11840000","50.82000017166138","50.82000017166138","50.82000017166138"
"11904000","61.2200003862381","61.2200003862381","61.2200003862381"
"11968000","76.70000033080578","76.70000033080578","76.70000033080578"
"12032000","79.38999843597412","79.38999843597412","79.38999843597412"
"12096000","96.61999827623367","96.61999827623367","96.61999827623367"
"12160000","93.52999877929688","93.52999877929688","93.52999877929688"
"12224000","122.6299991607666","122.6299991607666","122.6299991607666"
"12288000","111.3000020980835","111.3000020980835","111.3000020980835"
"12352000","109.44999885559082","109.44999885559082","109.44999885559082"
"12416000","126.82999992370605","126.82999992370605","126.82999992370605"
"12480000","114.20999908447266","114.20999908447266","114.20999908447266"
"12544000","129.61000204086304","129.61000204086304","129.61000204086304"
"12608000","130.909996509552","130.909996509552","130.909996509552"
"12672000","145.2400016784668","145.2400016784668","145.2400016784668"
"12736000","153.29999923706055","153.29999923706055","153.29999923706055"
"12800000","169.6399974822998","169.6399974822998","169.6399974822998"
"12864000","175.2799997329712","175.2799997329712","175.2799997329712"
"12928000","169.92000007629395","169.92000007629395","169.92000007629395"
"12992000","163.04999923706055","163.04999923706055","163.04999923706055"
"13056000","172.2700023651123","172.2700023651123","172.2700023651123"
"13120000","218.96999740600586","218.96999740600586","218.96999740600586"
"13184000","206.68999671936035","206.68999671936035","206.68999671936035"
"13248000","184.9699993133545","184.9699993133545","184.9699993133545"
"13312000","223.6400032043457","223.6400032043457","223.6400032043457"
"13376000","245.17000198364258","245.17000198364258","245.17000198364258"
"13440000","226.4499969482422","226.4499969482422","226.4499969482422"
"13504000","224.70000076293945","224.70000076293945","224.70000076293945"
"13568000","256.64999771118164","256.64999771118164","256.64999771118164"
"13632000","273.94000244140625","273.94000244140625","273.94000244140625"
"13696000","288.98999786376953","288.98999786376953","288.98999786376953"
"13760000","312.1700019836426","312.1700019836426","312.1700019836426"
"13824000","303.23999786376953","303.23999786376953","303.23999786376953"
"13888000","304.37999725341797","304.37999725341797","304.37999725341797"
"13952000","279.5200004577637","279.5200004577637","279.5200004577637"
"14016000","275.04999923706055","275.04999923706055","275.04999923706055"
"14080000","271.0099983215332","271.0099983215332","271.0099983215332"
"14144000","278.4000053405762","278.4000053405762","278.4000053405762"
"14208000","287.3199996948242","287.3199996948242","287.3199996948242"
"14272000","299.12999725341797","299.12999725341797","299.12999725341797"
"14336000","315.36000061035156","315.36000061035156","315.36000061035156"
"14400000","332.6599998474121","332.6599998474121","332.6599998474121"
"14464000","336.95000076293945","336.95000076293945","336.95000076293945"
"14528000","327.1700019836426","327.1700019836426","327.1700019836426"
"14592000","319.67000579833984","319.67000579833984","319.67000579833984"
"14656000","344.2000045776367","344.2000045776367","344.2000045776367"
"14720000","345.86999893188477","345.86999893188477","345.86999893188477"
"14784000","347.4499931335449","347.4499931335449","347.4499931335449"
"14848000","358.1500015258789","358.1500015258789","358.1500015258789"
"14912000","368.52000427246094","368.52000427246094","368.52000427246094"
"14976000","369.12000274658203","369.12000274658203","369.12000274658203"
"15040000","382.6500015258789","382.6500015258789","382.6500015258789"
"15104000","383.1500015258789","383.1500015258789","383.1500015258789"
"15168000","394.7699966430664","394.7699966430664","394.7699966430664"
"15232000","417.2799987792969","417.2799987792969","417.2799987792969"
"15296000","427.87998962402344","427.87998962402344","427.87998962402344"
"15360000","419.25999450683594","419.25999450683594","419.25999450683594"
"15424000","417.5299987792969","417.5299987792969","417.5299987792969"
"15488000","430.9699935913086","430.9699935913086","430.9699935913086"
"15552000","427.0699996948242","427.0699996948242","427.0699996948242"
"15616000","433.0499954223633","433.0499954223633","433.0499954223633"
"15680000","441.25000762939453","441.25000762939453","441.25000762939453"
"15744000","444.55999755859375","444.55999755859375","444.55999755859375"
"15808000","445.2899932861328","445.2899932861328","445.2899932861328"
"15872000","444.9500045776367","444.9500045776367","444.9500045776367"
"15936000","441.7200012207031","441.7200012207031","441.7200012207031"
"16000000","443.20999908447266","443.20999908447266","443.20999908447266"
"16064000","460.62999725341797","460.62999725341797","460.62999725341797"
"16128000","464.63001251220703","464.63001251220703","464.63001251220703"
"16192000","462.50000762939453","462.50000762939453","462.50000762939453"
"16256000","456.9699935913086","456.9699935913086","456.9699935913086"
"16320000","450.2999954223633","450.2999954223633","450.2999954223633"
"16384000","454.44998931884766","454.44998931884766","454.44998931884766"
"16448000","462.0899887084961","462.0899887084961","462.0899887084961"
"16512000","458.9700012207031","458.9700012207031","458.9700012207031"
"16576000","454.30999755859375","454.30999755859375","454.30999755859375"
"16640000","455.8100051879883","455.8100051879883","455.8100051879883"
"16704000","452.4199981689453","452.4199981689453","452.4199981689453"
"16768000","454.5500030517578","454.5500030517578","454.5500030517578"
"16832000","464.84000396728516","464.84000396728516","464.84000396728516"
"16896000","455.42000579833984","455.42000579833984","455.42000579833984"
"16960000","464.39000701904297","464.39000701904297","464.39000701904297"
"17024000","451.5699996948242","451.5699996948242","451.5699996948242"
"17088000","464.2199935913086","464.2199935913086","464.2199935913086"
"17152000","471.3999938964844","471.3999938964844","471.3999938964844"
"17216000","458.88999938964844","458.88999938964844","458.88999938964844"
"17280000","469.8500061035156","469.8500061035156","469.8500061035156"
"17344000","470.2799987792969","470.2799987792969","470.2799987792969"
"17408000","475.5800018310547","475.5800018310547","475.5800018310547"
"17472000","471.63999938964844","471.63999938964844","471.63999938964844"
"17536000","479.6999969482422","479.6999969482422","479.6999969482422"
"17600000","477.94000244140625","477.94000244140625","477.94000244140625"
"17664000","473.9499969482422","473.9499969482422","473.9499969482422"
"17728000","475.4699935913086","475.4699935913086","475.4699935913086"
"17792000","481.7200012207031","481.7200012207031","481.7200012207031"
"17856000","482.97999572753906","482.97999572753906","482.97999572753906"
"17920000","480.48999786376953","480.48999786376953","480.48999786376953"
"17984000","465.5899963378906","465.5899963378906","465.5899963378906"
"18048000","469.5499954223633","469.5499954223633","469.5499954223633"
"18112000","481.04000091552734","481.04000091552734","481.04000091552734"
"18176000","487.23999786376953","487.23999786376953","487.23999786376953"
"18240000","483.99000549316406","483.99000549316406","483.99000549316406"
"18304000","496.7699890136719","496.7699890136719","496.7699890136719"
"18368000","489.70999908447266","489.70999908447266","489.70999908447266"
"18432000","482.7800064086914","482.7800064086914","482.7800064086914"
"18496000","488.07000732421875","488.07000732421875","488.07000732421875"
"18560000","487.65999603271484","487.65999603271484","487.65999603271484"
"18624000","491.29000091552734","491.29000091552734","491.29000091552734"
"18688000","499.4699935913086","499.4699935913086","499.4699935913086"
"18752000","497.8400115966797","497.8400115966797","497.8400115966797"
"18816000","503.8099899291992","503.8099899291992","503.8099899291992"
"18880000","495.8000030517578","495.8000030517578","495.8000030517578"
"18944000","495.1600036621094","495.1600036621094","495.1600036621094"
"19008000","496.61000061035156","496.61000061035156","496.61000061035156"
"19072000","492.22999572753906","492.22999572753906","492.22999572753906"
"19136000","492.0399932861328","492.0399932861328","492.0399932861328"
"19200000","487.6600036621094","487.6600036621094","487.6600036621094"
"19264000","500.00999450683594","500.00999450683594","500.00999450683594"
"19328000","497.4000015258789","497.4000015258789","497.4000015258789"
"19392000","496.3699951171875","496.3699951171875","496.3699951171875"
"19456000","499.64000701904297","499.64000701904297","499.64000701904297"
"19520000","494.1899948120117","494.1899948120117","494.1899948120117"
"19584000","506.55999755859375","506.55999755859375","506.55999755859375"
"19648000","508.62998962402344","508.62998962402344","508.62998962402344"
"19712000","499.44000244140625","499.44000244140625","499.44000244140625"
"19776000","507.74000549316406","507.74000549316406","507.74000549316406"
"19840000","510.6699905395508","510.6699905395508","510.6699905395508"
"19904000","508.2799987792969","508.2799987792969","508.2799987792969"
"19968000","509.6800003051758","509.6800003051758","509.6800003051758"
"20032000","511.8399963378906","511.8399963378906","511.8399963378906"
