"Step","cleanup_0.3_0.0_0.85_0.015_cbamcausal - SW_ep_rew_total","cleanup_0.3_0.0_0.85_0.015_cbamcausal - SW_ep_rew_total__MIN","cleanup_0.3_0.0_0.85_0.015_cbamcausal - SW_ep_rew_total__MAX"
"9280000","8.160000085830688","8.160000085830688","8.160000085830688"
"9344000","8.259999990463257","8.259999990463257","8.259999990463257"
"9408000","8.449999928474426","8.449999928474426","8.449999928474426"
"9472000","7.799999952316284","7.799999952316284","7.799999952316284"
"9536000","7.509999990463257","7.509999990463257","7.509999990463257"
"9600000","8.170000076293945","8.170000076293945","8.170000076293945"
"9664000","8.879999876022339","8.879999876022339","8.879999876022339"
"9728000","7.4700000286102295","7.4700000286102295","7.4700000286102295"
"9792000","7.809999942779541","7.809999942779541","7.809999942779541"
"9856000","7.880000114440918","7.880000114440918","7.880000114440918"
"9920000","7.7200000286102295","7.7200000286102295","7.7200000286102295"
"9984000","7.049999952316284","7.049999952316284","7.049999952316284"
"10048000","6.949999928474426","6.949999928474426","6.949999928474426"
