"Step","cleanup_cbamsvo - SW_ep_rew_total","cleanup_cbamsvo - SW_ep_rew_total__MIN","cleanup_cbamsvo - SW_ep_rew_total__MAX"
"5632000","25.52999973297119","25.52999973297119","25.52999973297119"
"5696000","27.009999752044678","27.009999752044678","27.009999752044678"
"5760000","30.390000343322754","30.390000343322754","30.390000343322754"
"5824000","28.0600004196167","28.0600004196167","28.0600004196167"
"5888000","24.229999542236328","24.229999542236328","24.229999542236328"
"5952000","26.430000066757202","26.430000066757202","26.430000066757202"
"6016000","26.260000228881836","26.260000228881836","26.260000228881836"
"6080000","26.419999599456787","26.419999599456787","26.419999599456787"
"6144000","27.010000228881836","27.010000228881836","27.010000228881836"
"6208000","24.46999979019165","24.46999979019165","24.46999979019165"
"6272000","24.96000051498413","24.96000051498413","24.96000051498413"
"6336000","23.52999997138977","23.52999997138977","23.52999997138977"
"6400000","23.749999046325684","23.749999046325684","23.749999046325684"
"6464000","23.30999994277954","23.30999994277954","23.30999994277954"
