"Step","cleanup_0.3_0.0_0.85_0.015_cbambaseline - SW_ep_rew_total","cleanup_0.3_0.0_0.85_0.015_cbambaseline - SW_ep_rew_total__MIN","cleanup_0.3_0.0_0.85_0.015_cbambaseline - SW_ep_rew_total__MAX"
"7616000","8.110000014305115","8.110000014305115","8.110000014305115"
"7680000","8.640000224113464","8.640000224113464","8.640000224113464"
"7744000","8.210000038146973","8.210000038146973","8.210000038146973"
"7808000","8.90999972820282","8.90999972820282","8.90999972820282"
"7872000","9.569999933242798","9.569999933242798","9.569999933242798"
"7936000","9.100000262260437","9.100000262260437","9.100000262260437"
"8000000","8.679999828338623","8.679999828338623","8.679999828338623"
"8064000","9.600000262260437","9.600000262260437","9.600000262260437"
"8128000","9.570000052452087","9.570000052452087","9.570000052452087"
"8192000","9.089999914169312","9.089999914169312","9.089999914169312"
"8256000","9.459999918937683","9.459999918937683","9.459999918937683"
"8320000","11.40999984741211","11.40999984741211","11.40999984741211"
"8384000","12.099999904632568","12.099999904632568","12.099999904632568"
"8448000","11.839999794960022","11.839999794960022","11.839999794960022"
"8512000","11.009999871253967","11.009999871253967","11.009999871253967"
"8576000","11.50000011920929","11.50000011920929","11.50000011920929"
"8640000","12.130000114440918","12.130000114440918","12.130000114440918"
"8704000","13.96999979019165","13.96999979019165","13.96999979019165"
"8768000","13.449999809265137","13.449999809265137","13.449999809265137"
"8832000","13.330000042915344","13.330000042915344","13.330000042915344"
"8896000","11.71999990940094","11.71999990940094","11.71999990940094"
"8960000","11.950000166893005","11.950000166893005","11.950000166893005"
"9024000","12.430000305175781","12.430000305175781","12.430000305175781"
"9088000","13.329999923706055","13.329999923706055","13.329999923706055"
"9152000","13.300000190734863","13.300000190734863","13.300000190734863"
"9216000","13.81000018119812","13.81000018119812","13.81000018119812"
"9280000","14.849999904632568","14.849999904632568","14.849999904632568"
"9344000","14.559999942779541","14.559999942779541","14.559999942779541"
"9408000","14.549999952316284","14.549999952316284","14.549999952316284"
"9472000","14.330000162124634","14.330000162124634","14.330000162124634"
"9536000","15.84000015258789","15.84000015258789","15.84000015258789"
"9600000","15.639999866485596","15.639999866485596","15.639999866485596"
"9664000","13.919999957084656","13.919999957084656","13.919999957084656"
"9728000","15.959999799728394","15.959999799728394","15.959999799728394"
"9792000","15.769999980926514","15.769999980926514","15.769999980926514"
"9856000","14.379999876022339","14.379999876022339","14.379999876022339"
"9920000","14.559999942779541","14.559999942779541","14.559999942779541"
"9984000","16.06000018119812","16.06000018119812","16.06000018119812"
"10048000","16.550000429153442","16.550000429153442","16.550000429153442"
