"Step","lbf10_cbam_112_causal - SW_ep_rew_total","lbf10_cbam_112_causal - SW_ep_rew_total__MIN","lbf10_cbam_112_causal - SW_ep_rew_total__MAX"
"4416000","26.027999877929688","26.027999877929688","26.027999877929688"
"4464000","26.171997547149658","26.171997547149658","26.171997547149658"
"4512000","26.064000129699707","26.064000129699707","26.064000129699707"
"4560000","26.459998607635498","26.459998607635498","26.459998607635498"
"4608000","26.279998779296875","26.279998779296875","26.279998779296875"
"4656000","26.136001586914062","26.136001586914062","26.136001586914062"
"4704000","25.48799991607666","25.48799991607666","25.48799991607666"
"4752000","25.284001350402832","25.284001350402832","25.284001350402832"
"4800000","25.57200002670288","25.57200002670288","25.57200002670288"
"4848000","25.81199836730957","25.81199836730957","25.81199836730957"
"4896000","25.811999797821045","25.811999797821045","25.811999797821045"
"4944000","25.41599941253662","25.41599941253662","25.41599941253662"
"4992000","25.73999834060669","25.73999834060669","25.73999834060669"
