"Step","cleanup_0.3_0.0_0.85_0.015_cbam_inequity_aversion - SW_ep_rew_total","cleanup_0.3_0.0_0.85_0.015_cbam_inequity_aversion - SW_ep_rew_total__MIN","cleanup_0.3_0.0_0.85_0.015_cbam_inequity_aversion - SW_ep_rew_total__MAX"
"6272000","-1474.1265563964844","-1474.1265563964844","-1474.1265563964844"
"6336000","-1455.838150024414","-1455.838150024414","-1455.838150024414"
"6400000","-1575.2633209228516","-1575.2633209228516","-1575.2633209228516"
"6464000","-1562.1548461914062","-1562.1548461914062","-1562.1548461914062"
"6528000","-1410.9380340576172","-1410.9380340576172","-1410.9380340576172"
"6592000","-1278.519790649414","-1278.519790649414","-1278.519790649414"
"6656000","-1241.0397033691406","-1241.0397033691406","-1241.0397033691406"
"6720000","-1204.2431182861328","-1204.2431182861328","-1204.2431182861328"
"6784000","-1154.8962707519531","-1154.8962707519531","-1154.8962707519531"
"6848000","-1214.542984008789","-1214.542984008789","-1214.542984008789"
"6912000","-1239.7346649169922","-1239.7346649169922","-1239.7346649169922"
"6976000","-1160.039794921875","-1160.039794921875","-1160.039794921875"
"7040000","-1035.014633178711","-1035.014633178711","-1035.014633178711"
"7104000","-953.3046798706055","-953.3046798706055","-953.3046798706055"
"7168000","-888.7512741088867","-888.7512741088867","-888.7512741088867"
"7232000","-746.5213775634766","-746.5213775634766","-746.5213775634766"
"7296000","-743.2380065917969","-743.2380065917969","-743.2380065917969"
"7360000","-746.3863067626953","-746.3863067626953","-746.3863067626953"
"7424000","-742.0179595947266","-742.0179595947266","-742.0179595947266"
"7488000","-717.9879455566406","-717.9879455566406","-717.9879455566406"
"7552000","-624.0846710205078","-624.0846710205078","-624.0846710205078"
"7616000","-662.7013473510742","-662.7013473510742","-662.7013473510742"
"7680000","-676.9546661376953","-676.9546661376953","-676.9546661376953"
"7744000","-672.3679580688477","-672.3679580688477","-672.3679580688477"
"7808000","-671.4962005615234","-671.4962005615234","-671.4962005615234"
"7872000","-628.146240234375","-628.146240234375","-628.146240234375"
"7936000","-576.2129402160645","-576.2129402160645","-576.2129402160645"
"8000000","-562.604621887207","-562.604621887207","-562.604621887207"
"8064000","-547.4179611206055","-547.4179611206055","-547.4179611206055"
"8128000","-536.4380378723145","-536.4380378723145","-536.4380378723145"
"8192000","-546.9296875","-546.9296875","-546.9296875"
"8256000","-531.6063690185547","-531.6063690185547","-531.6063690185547"
"8320000","-557.5979652404785","-557.5979652404785","-557.5979652404785"
"8384000","-579.0979309082031","-579.0979309082031","-579.0979309082031"
"8448000","-506.31974029541016","-506.31974029541016","-506.31974029541016"
"8512000","-510.09638595581055","-510.09638595581055","-510.09638595581055"
"8576000","-568.2796630859375","-568.2796630859375","-568.2796630859375"
"8640000","-621.0713043212891","-621.0713043212891","-621.0713043212891"
"8704000","-686.6396942138672","-686.6396942138672","-686.6396942138672"
"8768000","-683.3446655273438","-683.3446655273438","-683.3446655273438"
"8832000","-773.787971496582","-773.787971496582","-773.787971496582"
"8896000","-846.8180236816406","-846.8180236816406","-846.8180236816406"
"8960000","-790.5213928222656","-790.5213928222656","-790.5213928222656"
"9024000","-742.6413955688477","-742.6413955688477","-742.6413955688477"
"9088000","-725.5614547729492","-725.5614547729492","-725.5614547729492"
"9152000","-715.0846099853516","-715.0846099853516","-715.0846099853516"
"9216000","-674.1246490478516","-674.1246490478516","-674.1246490478516"
"9280000","-645.0596199035645","-645.0596199035645","-645.0596199035645"
"9344000","-592.3613739013672","-592.3613739013672","-592.3613739013672"
"9408000","-602.2396850585938","-602.2396850585938","-602.2396850585938"
"9472000","-560.3679809570312","-560.3679809570312","-560.3679809570312"
"9536000","-519.9563522338867","-519.9563522338867","-519.9563522338867"
"9600000","-469.2696838378906","-469.2696838378906","-469.2696838378906"
"9664000","-454.01966094970703","-454.01966094970703","-454.01966094970703"
"9728000","-465.387996673584","-465.387996673584","-465.387996673584"
"9792000","-498.7213439941406","-498.7213439941406","-498.7213439941406"
"9856000","-465.2330627441406","-465.2330627441406","-465.2330627441406"
"9920000","-474.4930191040039","-474.4930191040039","-474.4930191040039"
"9984000","-451.23970794677734","-451.23970794677734","-451.23970794677734"
"10048000","-410.2914619445801","-410.2914619445801","-410.2914619445801"
"10112000","-383.70643615722656","-383.70643615722656","-383.70643615722656"
"10176000","-400.76476287841797","-400.76476287841797","-400.76476287841797"
"10240000","-390.2364387512207","-390.2364387512207","-390.2364387512207"
"10304000","-323.29816818237305","-323.29816818237305","-323.29816818237305"
"10368000","-314.6531982421875","-314.6531982421875","-314.6531982421875"
"10432000","-298.8682041168213","-298.8682041168213","-298.8682041168213"
"10496000","-302.25153732299805","-302.25153732299805","-302.25153732299805"
"10560000","-259.7715492248535","-259.7715492248535","-259.7715492248535"
"10624000","-247.47490692138672","-247.47490692138672","-247.47490692138672"
"10688000","-241.37654304504395","-241.37654304504395","-241.37654304504395"
"10752000","-266.03320121765137","-266.03320121765137","-266.03320121765137"
"10816000","-213.2315559387207","-213.2315559387207","-213.2315559387207"
"10880000","-206.8581829071045","-206.8581829071045","-206.8581829071045"
"10944000","-182.97490119934082","-182.97490119934082","-182.97490119934082"
"11008000","-158.53824615478516","-158.53824615478516","-158.53824615478516"
"11072000","-142.00992584228516","-142.00992584228516","-142.00992584228516"
"11136000","-147.37993240356445","-147.37993240356445","-147.37993240356445"
"11200000","-158.02489948272705","-158.02489948272705","-158.02489948272705"
"11264000","-150.66491889953613","-150.66491889953613","-150.66491889953613"
"11328000","-142.076584815979","-142.076584815979","-142.076584815979"
"11392000","-95.12993097305298","-95.12993097305298","-95.12993097305298"
"11456000","-96.41828918457031","-96.41828918457031","-96.41828918457031"
"11520000","-118.06661176681519","-118.06661176681519","-118.06661176681519"
"11584000","-100.00993728637695","-100.00993728637695","-100.00993728637695"
"11648000","-96.84496784210205","-96.84496784210205","-96.84496784210205"
"11712000","-88.21497082710266","-88.21497082710266","-88.21497082710266"
"11776000","-45.860005259513855","-45.860005259513855","-45.860005259513855"
"11840000","-53.6233274936676","-53.6233274936676","-53.6233274936676"
"11904000","-71.27665185928345","-71.27665185928345","-71.27665185928345"
"11968000","-59.69829869270325","-59.69829869270325","-59.69829869270325"
"12032000","-56.8783004283905","-56.8783004283905","-56.8783004283905"
"12096000","-52.27164888381958","-52.27164888381958","-52.27164888381958"
"12160000","-27.639999985694885","-27.639999985694885","-27.639999985694885"
"12224000","-21.941668778657913","-21.941668778657913","-21.941668778657913"
"12288000","-31.184991240501404","-31.184991240501404","-31.184991240501404"
"12352000","-31.056663036346436","-31.056663036346436","-31.056663036346436"
"12416000","-26.131665915250778","-26.131665915250778","-26.131665915250778"
