"Step","harvest_cbaminequity_aversion - SW_ep_rew_total","harvest_cbaminequity_aversion - SW_ep_rew_total__MIN","harvest_cbaminequity_aversion - SW_ep_rew_total__MAX"
"9280000","25.615500450134277","25.615500450134277","25.615500450134277"
"9344000","25.19374966621399","25.19374966621399","25.19374966621399"
"9408000","25.234751224517822","25.234751224517822","25.234751224517822"
"9472000","25.182000875473022","25.182000875473022","25.182000875473022"
"9536000","25.391250371932983","25.391250371932983","25.391250371932983"
"9600000","25.32474946975708","25.32474946975708","25.32474946975708"
"9664000","25.8799991607666","25.8799991607666","25.8799991607666"
"9728000","25.351750373840332","25.351750373840332","25.351750373840332"
"9792000","25.184001684188843","25.184001684188843","25.184001684188843"
"9856000","24.64500069618225","24.64500069618225","24.64500069618225"
"9920000","23.414501190185547","23.414501190185547","23.414501190185547"
"9984000","24.27674961090088","24.27674961090088","24.27674961090088"
"10048000","24.640248775482178","24.640248775482178","24.640248775482178"
