"Step","lbf10_cbam_112_baseline - SW_ep_rew_total","lbf10_cbam_112_baseline - SW_ep_rew_total__MIN","lbf10_cbam_112_baseline - SW_ep_rew_total__MAX"
"5824000","16.896000146865845","16.896000146865845","16.896000146865845"
"5888000","17.53200054168701","17.53200054168701","17.53200054168701"
"5952000","17.712000131607056","17.712000131607056","17.712000131607056"
"6016000","17.652000665664673","17.652000665664673","17.652000665664673"
"6080000","16.584000825881958","16.584000825881958","16.584000825881958"
"6144000","16.27200174331665","16.27200174331665","16.27200174331665"
"6208000","16.3919997215271","16.3919997215271","16.3919997215271"
"6272000","16.308000087738037","16.308000087738037","16.308000087738037"
"6336000","16.4520001411438","16.4520001411438","16.4520001411438"
"6400000","16.883999824523926","16.883999824523926","16.883999824523926"
"6464000","17.772000312805176","17.772000312805176","17.772000312805176"
"6528000","18.576000452041626","18.576000452041626","18.576000452041626"
"6592000","18.923999071121216","18.923999071121216","18.923999071121216"
"6656000","19.41600012779236","19.41600012779236","19.41600012779236"
