"Step","harvest_cbamcausal - SW_ep_rew_total","harvest_cbamcausal - SW_ep_rew_total__MIN","harvest_cbamcausal - SW_ep_rew_total__MAX"
"8576000","152.04000091552734","152.04000091552734","152.04000091552734"
"8640000","150.6200008392334","150.6200008392334","150.6200008392334"
"8704000","150.89999961853027","150.89999961853027","150.89999961853027"
"8768000","151.45999908447266","151.45999908447266","151.45999908447266"
"8832000","150.27000045776367","150.27000045776367","150.27000045776367"
"8896000","151.6100025177002","151.6100025177002","151.6100025177002"
"8960000","150.98999977111816","150.98999977111816","150.98999977111816"
"9024000","149.84000205993652","149.84000205993652","149.84000205993652"
"9088000","150.13000297546387","150.13000297546387","150.13000297546387"
"9152000","150.49999809265137","150.49999809265137","150.49999809265137"
"9216000","151.36999893188477","151.36999893188477","151.36999893188477"
"9280000","150.6200008392334","150.6200008392334","150.6200008392334"
"9344000","149.79000091552734","149.79000091552734","149.79000091552734"
"9408000","148.40999794006348","148.40999794006348","148.40999794006348"
"9472000","147.0699977874756","147.0699977874756","147.0699977874756"
"9536000","150.17000007629395","150.17000007629395","150.17000007629395"
"9600000","150.54999923706055","150.54999923706055","150.54999923706055"
"9664000","151.1999969482422","151.1999969482422","151.1999969482422"
"9728000","151.1299991607666","151.1299991607666","151.1299991607666"
"9792000","151.61000061035156","151.61000061035156","151.61000061035156"
"9856000","150.31000137329102","150.31000137329102","150.31000137329102"
"9920000","150.19000053405762","150.19000053405762","150.19000053405762"
"9984000","150.26999855041504","150.26999855041504","150.26999855041504"
"10048000","150.89999961853027","150.89999961853027","150.89999961853027"
