"Step","cleanup_0.3_0.0_0.85_0.015_cbam_baseline - SW_ep_rew_total","cleanup_0.3_0.0_0.85_0.015_cbam_baseline - SW_ep_rew_total__MIN","cleanup_0.3_0.0_0.85_0.015_cbam_baseline - SW_ep_rew_total__MAX"
"9536000","10.730000376701355","10.730000376701355","10.730000376701355"
"9600000","11.020000100135803","11.020000100135803","11.020000100135803"
"9664000","12.970000267028809","12.970000267028809","12.970000267028809"
"9728000","12.439999908208847","12.439999908208847","12.439999908208847"
"9792000","9.6799997985363","9.6799997985363","9.6799997985363"
"9856000","12.440000176429749","12.440000176429749","12.440000176429749"
"9920000","14.090000033378601","14.090000033378601","14.090000033378601"
"9984000","14.28000032901764","14.28000032901764","14.28000032901764"
"10048000","13.409999966621399","13.409999966621399","13.409999966621399"
"10112000","14.06000018119812","14.06000018119812","14.06000018119812"
"10176000","16.240000396966934","16.240000396966934","16.240000396966934"
"10240000","14.790000021457672","14.790000021457672","14.790000021457672"
"10304000","13.059999763965607","13.059999763965607","13.059999763965607"
"10368000","13.92000025510788","13.92000025510788","13.92000025510788"
"10432000","14.830000042915344","14.830000042915344","14.830000042915344"
"10496000","12.959999978542328","12.959999978542328","12.959999978542328"
"10560000","10.8599998280406","10.8599998280406","10.8599998280406"
"10624000","13.070000022649765","13.070000022649765","13.070000022649765"
"10688000","12.789999723434448","12.789999723434448","12.789999723434448"
"10752000","13.829999834299088","13.829999834299088","13.829999834299088"
"10816000","12.309999853372574","12.309999853372574","12.309999853372574"
"10880000","11.019999891519547","11.019999891519547","11.019999891519547"
"10944000","10.709999978542328","10.709999978542328","10.709999978542328"
"11008000","10.2999999076128","10.2999999076128","10.2999999076128"
"11072000","10.959999859333038","10.959999859333038","10.959999859333038"
"11136000","12.12999975681305","12.12999975681305","12.12999975681305"
"11200000","13.770000129938126","13.770000129938126","13.770000129938126"
"11264000","14.230000227689743","14.230000227689743","14.230000227689743"
"11328000","13.000000178813934","13.000000178813934","13.000000178813934"
"11392000","14.459999859333038","14.459999859333038","14.459999859333038"
"11456000","15.629999995231628","15.629999995231628","15.629999995231628"
"11520000","15.030000314116478","15.030000314116478","15.030000314116478"
"11584000","18.17000013589859","18.17000013589859","18.17000013589859"
"11648000","17.37000012397766","17.37000012397766","17.37000012397766"
"11712000","17.17000025510788","17.17000025510788","17.17000025510788"
"11776000","17.830000400543213","17.830000400543213","17.830000400543213"
"11840000","17.399999737739563","17.399999737739563","17.399999737739563"
"11904000","16.740000128746033","16.740000128746033","16.740000128746033"
"11968000","18.110000491142273","18.110000491142273","18.110000491142273"
"12032000","17.10999995470047","17.10999995470047","17.10999995470047"
"12096000","16.03000009059906","16.03000009059906","16.03000009059906"
"12160000","16.300000190734863","16.300000190734863","16.300000190734863"
"12224000","17.19000005722046","17.19000005722046","17.19000005722046"
"12288000","16.630000352859497","16.630000352859497","16.630000352859497"
"12352000","19.010000109672546","19.010000109672546","19.010000109672546"
"12416000","17.919999957084656","17.919999957084656","17.919999957084656"
"12480000","17.080000281333923","17.080000281333923","17.080000281333923"
"12544000","20.149999618530273","20.149999618530273","20.149999618530273"
"12608000","20.709999799728394","20.709999799728394","20.709999799728394"
"12672000","20.44000005722046","20.44000005722046","20.44000005722046"
"12736000","20.169999837875366","20.169999837875366","20.169999837875366"
"12800000","20.609999656677246","20.609999656677246","20.609999656677246"
"12864000","20.430000066757202","20.430000066757202","20.430000066757202"
"12928000","18.549999952316284","18.549999952316284","18.549999952316284"
"12992000","19.950000286102295","19.950000286102295","19.950000286102295"
"13056000","18.880000352859497","18.880000352859497","18.880000352859497"
"13120000","16.670000433921814","16.670000433921814","16.670000433921814"
"13184000","17.980000257492065","17.980000257492065","17.980000257492065"
"13248000","18.12999987602234","18.12999987602234","18.12999987602234"
"13312000","18.90000009536743","18.90000009536743","18.90000009536743"
"13376000","21.759999752044678","21.759999752044678","21.759999752044678"
"13440000","21.65000009536743","21.65000009536743","21.65000009536743"
"13504000","22.399999856948853","22.399999856948853","22.399999856948853"
"13568000","25.34999990463257","25.34999990463257","25.34999990463257"
"13632000","25.34000062942505","25.34000062942505","25.34000062942505"
"13696000","29.289999961853027","29.289999961853027","29.289999961853027"
"13760000","28.519999742507935","28.519999742507935","28.519999742507935"
"13824000","27.660000324249268","27.660000324249268","27.660000324249268"
"13888000","29.340000867843628","29.340000867843628","29.340000867843628"
"13952000","27.9399995803833","27.9399995803833","27.9399995803833"
"14016000","29.300000190734863","29.300000190734863","29.300000190734863"
"14080000","28.15000009536743","28.15000009536743","28.15000009536743"
"14144000","28.730000019073486","28.730000019073486","28.730000019073486"
"14208000","31.34999942779541","31.34999942779541","31.34999942779541"
"14272000","27.230000495910645","27.230000495910645","27.230000495910645"
"14336000","23.509999990463257","23.509999990463257","23.509999990463257"
"14400000","25.750000476837158","25.750000476837158","25.750000476837158"
"14464000","28.360000133514404","28.360000133514404","28.360000133514404"
"14528000","30.28999948501587","30.28999948501587","30.28999948501587"
"14592000","30.170000076293945","30.170000076293945","30.170000076293945"
"14656000","26.789999961853027","26.789999961853027","26.789999961853027"
"14720000","25.429999828338623","25.429999828338623","25.429999828338623"
"14784000","27.759999752044678","27.759999752044678","27.759999752044678"
"14848000","29.359999656677246","29.359999656677246","29.359999656677246"
"14912000","30.910000324249268","30.910000324249268","30.910000324249268"
"14976000","28.94000005722046","28.94000005722046","28.94000005722046"
"15040000","27.619999885559082","27.619999885559082","27.619999885559082"
"15104000","27.859999656677246","27.859999656677246","27.859999656677246"
"15168000","29.8100004196167","29.8100004196167","29.8100004196167"
"15232000","32.72000074386597","32.72000074386597","32.72000074386597"
"15296000","35.84000062942505","35.84000062942505","35.84000062942505"
"15360000","34.47000026702881","34.47000026702881","34.47000026702881"
"15424000","31.62000036239624","31.62000036239624","31.62000036239624"
"15488000","30.34999942779541","30.34999942779541","30.34999942779541"
"15552000","32.44000005722046","32.44000005722046","32.44000005722046"
"15616000","32.68000078201294","32.68000078201294","32.68000078201294"
"15680000","28.96999979019165","28.96999979019165","28.96999979019165"
"15744000","31.259999752044678","31.259999752044678","31.259999752044678"
"15808000","29.679999828338623","29.679999828338623","29.679999828338623"
"15872000","26.700000286102295","26.700000286102295","26.700000286102295"
"15936000","24.890000104904175","24.890000104904175","24.890000104904175"
"16000000","25.299999713897705","25.299999713897705","25.299999713897705"
"16064000","26.06000018119812","26.06000018119812","26.06000018119812"
"16128000","27.140000104904175","27.140000104904175","27.140000104904175"
"16192000","25.65999984741211","25.65999984741211","25.65999984741211"
"16256000","24.22000026702881","24.22000026702881","24.22000026702881"
"16320000","23.320000648498535","23.320000648498535","23.320000648498535"
"16384000","19.920000314712524","19.920000314712524","19.920000314712524"
"16448000","15.849999904632568","15.849999904632568","15.849999904632568"
"16512000","15.899999856948853","15.899999856948853","15.899999856948853"
"16576000","16.730000019073486","16.730000019073486","16.730000019073486"
"16640000","17.660000324249268","17.660000324249268","17.660000324249268"
"16704000","20.40999960899353","20.40999960899353","20.40999960899353"
"16768000","21.899999618530273","21.899999618530273","21.899999618530273"
