"Step","harvest_original_cbam_inequity_aversion - SW_ep_rew_total","harvest_original_cbam_inequity_aversion - SW_ep_rew_total__MIN","harvest_original_cbam_inequity_aversion - SW_ep_rew_total__MAX"
"8384000","-387.6188163757324","-387.6188163757324","-387.6188163757324"
"8448000","-374.03161239624023","-374.03161239624023","-374.03161239624023"
"8512000","-345.4392204284668","-345.4392204284668","-345.4392204284668"
"8576000","-360.0966606140137","-360.0966606140137","-360.0966606140137"
"8640000","-320.51797103881836","-320.51797103881836","-320.51797103881836"
"8704000","-277.3878402709961","-277.3878402709961","-277.3878402709961"
"8768000","-281.7129325866699","-281.7129325866699","-281.7129325866699"
"8832000","-287.8427085876465","-287.8427085876465","-287.8427085876465"
"8896000","-242.2021942138672","-242.2021942138672","-242.2021942138672"
"8960000","-259.9463119506836","-259.9463119506836","-259.9463119506836"
"9024000","-262.2883491516113","-262.2883491516113","-262.2883491516113"
"9088000","-280.4489231109619","-280.4489231109619","-280.4489231109619"
"9152000","-250.03458404541016","-250.03458404541016","-250.03458404541016"
"9216000","-237.54957580566406","-237.54957580566406","-237.54957580566406"
"9280000","-258.3816261291504","-258.3816261291504","-258.3816261291504"
"9344000","-246.77163696289062","-246.77163696289062","-246.77163696289062"
"9408000","-250.91231727600098","-250.91231727600098","-250.91231727600098"
"9472000","-235.01303482055664","-235.01303482055664","-235.01303482055664"
"9536000","-232.14169883728027","-232.14169883728027","-232.14169883728027"
"9600000","-234.8011875152588","-234.8011875152588","-234.8011875152588"
"9664000","-235.9628791809082","-235.9628791809082","-235.9628791809082"
"9728000","-245.69402313232422","-245.69402313232422","-245.69402313232422"
"9792000","-228.05851554870605","-228.05851554870605","-228.05851554870605"
"9856000","-200.74690628051758","-200.74690628051758","-200.74690628051758"
"9920000","-195.91975593566895","-195.91975593566895","-195.91975593566895"
"9984000","-165.20405960083008","-165.20405960083008","-165.20405960083008"
"10048000","-193.02305221557617","-193.02305221557617","-193.02305221557617"
"10112000","-137.6195764541626","-137.6195764541626","-137.6195764541626"
"10176000","-111.96819162368774","-111.96819162368774","-111.96819162368774"
"10240000","-132.8064889907837","-132.8064889907837","-132.8064889907837"
"10304000","-125.17313480377197","-125.17313480377197","-125.17313480377197"
"10368000","-108.63763523101807","-108.63763523101807","-108.63763523101807"
"10432000","-82.67686653137207","-82.67686653137207","-82.67686653137207"
"10496000","-88.28224039077759","-88.28224039077759","-88.28224039077759"
"10560000","-92.80651950836182","-92.80651950836182","-92.80651950836182"
"10624000","-70.63684248924255","-70.63684248924255","-70.63684248924255"
"10688000","-81.71650886535645","-81.71650886535645","-81.71650886535645"
"10752000","-79.47168564796448","-79.47168564796448","-79.47168564796448"
"10816000","-62.425861835479736","-62.425861835479736","-62.425861835479736"
"10880000","-69.60794389247894","-69.60794389247894","-69.60794389247894"
"10944000","-56.62753963470459","-56.62753963470459","-56.62753963470459"
"11008000","-55.390045166015625","-55.390045166015625","-55.390045166015625"
"11072000","-59.3510282933712","-59.3510282933712","-59.3510282933712"
"11136000","-71.84021228551865","-71.84021228551865","-71.84021228551865"
"11200000","-73.26045841211453","-73.26045841211453","-73.26045841211453"
"11264000","-56.45554995536804","-56.45554995536804","-56.45554995536804"
"11328000","-32.79990005493164","-32.79990005493164","-32.79990005493164"
"11392000","-17.311053305864334","-17.311053305864334","-17.311053305864334"
"11456000","-8.21121871471405","-8.21121871471405","-8.21121871471405"
"11520000","1.2033750414848328","1.2033750414848328","1.2033750414848328"
"11584000","13.299861311912537","13.299861311912537","13.299861311912537"
"11648000","-1.2249791622161865","-1.2249791622161865","-1.2249791622161865"
"11712000","-0.4961181879043579","-0.4961181879043579","-0.4961181879043579"
"11776000","2.8168831169605255","2.8168831169605255","2.8168831169605255"
"11840000","14.331521034240723","14.331521034240723","14.331521034240723"
"11904000","5.4592045545578","5.4592045545578","5.4592045545578"
"11968000","4.128700956702232","4.128700956702232","4.128700956702232"
"12032000","20.078540489077568","20.078540489077568","20.078540489077568"
"12096000","12.987702369689941","12.987702369689941","12.987702369689941"
"12160000","23.115699291229248","23.115699291229248","23.115699291229248"
"12224000","18.527961254119873","18.527961254119873","18.527961254119873"
"12288000","17.104634761810303","17.104634761810303","17.104634761810303"
"12352000","17.324866890907288","17.324866890907288","17.324866890907288"
"12416000","18.786703675985336","18.786703675985336","18.786703675985336"
"12480000","23.753344625234604","23.753344625234604","23.753344625234604"
"12544000","11.91105341911316","11.91105341911316","11.91105341911316"
"12608000","33.42667302489281","33.42667302489281","33.42667302489281"
"12672000","30.4536994099617","30.4536994099617","30.4536994099617"
"12736000","22.586188673973083","22.586188673973083","22.586188673973083"
"12800000","14.680219173431396","14.680219173431396","14.680219173431396"
"12864000","28.49166774749756","28.49166774749756","28.49166774749756"
"12928000","21.33954632282257","21.33954632282257","21.33954632282257"
"12992000","31.861342668533325","31.861342668533325","31.861342668533325"
"13056000","35.79633688926697","35.79633688926697","35.79633688926697"
"13120000","40.44296312332153","40.44296312332153","40.44296312332153"
"13184000","38.55098932981491","38.55098932981491","38.55098932981491"
"13248000","31.671515617519617","31.671515617519617","31.671515617519617"
"13312000","37.7123102247715","37.7123102247715","37.7123102247715"
"13376000","39.21285715699196","39.21285715699196","39.21285715699196"
"13440000","39.63117757439613","39.63117757439613","39.63117757439613"
"13504000","37.11866533756256","37.11866533756256","37.11866533756256"
"13568000","29.70919880270958","29.70919880270958","29.70919880270958"
"13632000","31.089167833328247","31.089167833328247","31.089167833328247"
"13696000","22.215540051460266","22.215540051460266","22.215540051460266"
"13760000","26.00020557641983","26.00020557641983","26.00020557641983"
"13824000","20.74468183517456","20.74468183517456","20.74468183517456"
"13888000","23.316334128379822","23.316334128379822","23.316334128379822"
"13952000","20.42915140092373","20.42915140092373","20.42915140092373"
"14016000","24.7511225938797","24.7511225938797","24.7511225938797"
"14080000","35.9413423538208","35.9413423538208","35.9413423538208"
"14144000","34.56269907951355","34.56269907951355","34.56269907951355"
"14208000","36.09486210346222","36.09486210346222","36.09486210346222"
"14272000","38.778828501701355","38.778828501701355","38.778828501701355"
"14336000","43.40350252017379","43.40350252017379","43.40350252017379"
"14400000","44.31866717338562","44.31866717338562","44.31866717338562"
"14464000","32.38181817531586","32.38181817531586","32.38181817531586"
"14528000","28.697140216827393","28.697140216827393","28.697140216827393"
"14592000","31.139461159706116","31.139461159706116","31.139461159706116"
"14656000","22.553004503250122","22.553004503250122","22.553004503250122"
"14720000","27.587306797504425","27.587306797504425","27.587306797504425"
"14784000","28.907633781433105","28.907633781433105","28.907633781433105"
"14848000","44.73227700591087","44.73227700591087","44.73227700591087"
"14912000","45.609751760959625","45.609751760959625","45.609751760959625"
"14976000","36.2786248922348","36.2786248922348","36.2786248922348"
"15040000","29.714982211589813","29.714982211589813","29.714982211589813"
"15104000","34.77897763252258","34.77897763252258","34.77897763252258"
"15168000","23.17768520116806","23.17768520116806","23.17768520116806"
"15232000","-73.0930392742157","-73.0930392742157","-73.0930392742157"
"15296000","-121.12042236328125","-121.12042236328125","-121.12042236328125"
"15360000","-138.85844784975052","-138.85844784975052","-138.85844784975052"
"15424000","-103.54928302764893","-103.54928302764893","-103.54928302764893"
"15488000","-73.36125445365906","-73.36125445365906","-73.36125445365906"
"15552000","-81.15723377093673","-81.15723377093673","-81.15723377093673"
"15616000","-65.5131607055664","-65.5131607055664","-65.5131607055664"
"15680000","-3.874829113483429","-3.874829113483429","-3.874829113483429"
"15744000","39.84216058254242","39.84216058254242","39.84216058254242"
"15808000","52.73241901397705","52.73241901397705","52.73241901397705"
"15872000","43.413440227508545","43.413440227508545","43.413440227508545"
"15936000","39.61731815338135","39.61731815338135","39.61731815338135"
"16000000","37.58733630180359","37.58733630180359","37.58733630180359"
"16064000","44.26581163704395","44.26581163704395","44.26581163704395"
"16128000","-16.815413236618042","-16.815413236618042","-16.815413236618042"
"16192000","5.192996025085449","5.192996025085449","5.192996025085449"
"16256000","42.15383529663086","42.15383529663086","42.15383529663086"
"16320000","27.498565532267094","27.498565532267094","27.498565532267094"
"16384000","35.24071502685547","35.24071502685547","35.24071502685547"
"16448000","47.650105595588684","47.650105595588684","47.650105595588684"
"16512000","-4.969009160995483","-4.969009160995483","-4.969009160995483"
"16576000","12.974194556474686","12.974194556474686","12.974194556474686"
"16640000","45.81580638885498","45.81580638885498","45.81580638885498"
"16704000","45.567955493927","45.567955493927","45.567955493927"
"16768000","28.576449751853943","28.576449751853943","28.576449751853943"
"16832000","-153.7743272781372","-153.7743272781372","-153.7743272781372"
"16896000","-541.2276344299316","-541.2276344299316","-541.2276344299316"
"16960000","-826.3322296142578","-826.3322296142578","-826.3322296142578"
"17024000","-1228.7656707763672","-1228.7656707763672","-1228.7656707763672"
"17088000","-1703.930435180664","-1703.930435180664","-1703.930435180664"
"17152000","-2149.6015014648438","-2149.6015014648438","-2149.6015014648438"
"17216000","-2144.433578491211","-2144.433578491211","-2144.433578491211"
"17280000","-2524.498779296875","-2524.498779296875","-2524.498779296875"
"17344000","-2591.9679565429688","-2591.9679565429688","-2591.9679565429688"
"17408000","-2581.87841796875","-2581.87841796875","-2581.87841796875"
"17472000","-1979.3888092041016","-1979.3888092041016","-1979.3888092041016"
"17536000","-2074.830764770508","-2074.830764770508","-2074.830764770508"
"17600000","-2103.1346893310547","-2103.1346893310547","-2103.1346893310547"
"17664000","-2015.1187286376953","-2015.1187286376953","-2015.1187286376953"
"17728000","-1953.5577239990234","-1953.5577239990234","-1953.5577239990234"
"17792000","-1864.8364562988281","-1864.8364562988281","-1864.8364562988281"
"17856000","-1662.900131225586","-1662.900131225586","-1662.900131225586"
"17920000","-1487.3533782958984","-1487.3533782958984","-1487.3533782958984"
"17984000","-1557.850112915039","-1557.850112915039","-1557.850112915039"
"18048000","-1857.1109008789062","-1857.1109008789062","-1857.1109008789062"
"18112000","-2046.1873168945312","-2046.1873168945312","-2046.1873168945312"
"18176000","-1801.3744659423828","-1801.3744659423828","-1801.3744659423828"
"18240000","-1512.6924743652344","-1512.6924743652344","-1512.6924743652344"
"18304000","-1821.944564819336","-1821.944564819336","-1821.944564819336"
"18368000","-1550.8667449951172","-1550.8667449951172","-1550.8667449951172"
"18432000","-1425.2164916992188","-1425.2164916992188","-1425.2164916992188"
"18496000","-1539.718765258789","-1539.718765258789","-1539.718765258789"
"18560000","-1673.1673278808594","-1673.1673278808594","-1673.1673278808594"
"18624000","-1693.2848815917969","-1693.2848815917969","-1693.2848815917969"
"18688000","-1788.937484741211","-1788.937484741211","-1788.937484741211"
"18752000","-1793.6018981933594","-1793.6018981933594","-1793.6018981933594"
"18816000","-1609.0330352783203","-1609.0330352783203","-1609.0330352783203"
"18880000","-1643.2374877929688","-1643.2374877929688","-1643.2374877929688"
"18944000","-2038.9121551513672","-2038.9121551513672","-2038.9121551513672"
"19008000","-2152.606719970703","-2152.606719970703","-2152.606719970703"
"19072000","-2128.891571044922","-2128.891571044922","-2128.891571044922"
"19136000","-2099.3564453125","-2099.3564453125","-2099.3564453125"
"19200000","-2158.3462829589844","-2158.3462829589844","-2158.3462829589844"
"19264000","-2066.357467651367","-2066.357467651367","-2066.357467651367"
"19328000","-2105.5772705078125","-2105.5772705078125","-2105.5772705078125"
"19392000","-2124.720458984375","-2124.720458984375","-2124.720458984375"
"19456000","-1988.79150390625","-1988.79150390625","-1988.79150390625"
"19520000","-1859.73876953125","-1859.73876953125","-1859.73876953125"
"19584000","-2133.504608154297","-2133.504608154297","-2133.504608154297"
"19648000","-2026.9545593261719","-2026.9545593261719","-2026.9545593261719"
"19712000","-2119.4295959472656","-2119.4295959472656","-2119.4295959472656"
"19776000","-2118.5282440185547","-2118.5282440185547","-2118.5282440185547"
"19840000","-1900.4097747802734","-1900.4097747802734","-1900.4097747802734"
"19904000","-1762.838363647461","-1762.838363647461","-1762.838363647461"
"19968000","-1888.2384948730469","-1888.2384948730469","-1888.2384948730469"
"20032000","-1877.3962860107422","-1877.3962860107422","-1877.3962860107422"
