"Step","coin3_baseline - SW_ep_rew_mean","coin3_baseline - SW_ep_rew_mean__MIN","coin3_baseline - SW_ep_rew_mean__MAX"
"2832000","-1.4333333571751912","-1.4333333571751912","-1.4333333571751912"
"2880000","-1.306666706999143","-1.306666706999143","-1.306666706999143"
"2928000","-0.8066667119661967","-0.8066667119661967","-0.8066667119661967"
"2976000","-1.0866666436195374","-1.0866666436195374","-1.0866666436195374"
"3024000","-0.8133333126703898","-0.8133333126703898","-0.8133333126703898"
"3072000","-1.6000000437100728","-1.6000000437100728","-1.6000000437100728"
"3120000","-1.213333398103714","-1.213333398103714","-1.213333398103714"
"3168000","-0.8733332951863607","-0.8733332951863607","-0.8733332951863607"
"3216000","-1.4799999594688416","-1.4799999594688416","-1.4799999594688416"
"3264000","-1.5666667222976685","-1.5666667222976685","-1.5666667222976685"
"3312000","-2.0466665824254355","-2.0466665824254355","-2.0466665824254355"
"3360000","-0.6133332749207815","-0.6133332749207815","-0.6133332749207815"
"3408000","-1.559999932224552","-1.559999932224552","-1.559999932224552"
"3456000","-1.7133333683013916","-1.7133333683013916","-1.7133333683013916"
"3504000","-1.2533332804838817","-1.2533332804838817","-1.2533332804838817"
"3552000","-1.5800000429153442","-1.5800000429153442","-1.5800000429153442"
"3600000","-0.3600000739097595","-0.3600000739097595","-0.3600000739097595"
"3648000","-0.8466666539510092","-0.8466666539510092","-0.8466666539510092"
"3696000","-1.186666617790858","-1.186666617790858","-1.186666617790858"
"3744000","-0.8200000127156576","-0.8200000127156576","-0.8200000127156576"
"3792000","-0.8733333945274353","-0.8733333945274353","-0.8733333945274353"
"3840000","-1.1799999872843425","-1.1799999872843425","-1.1799999872843425"
"3888000","-1.286666731039683","-1.286666731039683","-1.286666731039683"
"3936000","-1.153333346048991","-1.153333346048991","-1.153333346048991"
"3984000","-1.3266667127609253","-1.3266667127609253","-1.3266667127609253"
"4032000","-1.6933333228031795","-1.6933333228031795","-1.6933333228031795"
"4080000","-1.373333250482877","-1.373333250482877","-1.373333250482877"
"4128000","-1.5333333412806194","-1.5333333412806194","-1.5333333412806194"
"4176000","-1.300000011920929","-1.300000011920929","-1.300000011920929"
"4224000","-0.9466666579246521","-0.9466666579246521","-0.9466666579246521"
"4272000","-0.6600000063578287","-0.6600000063578287","-0.6600000063578287"
