"Step","coin3_cbam_causal - SW_ep_rew_mean","coin3_cbam_causal - SW_ep_rew_mean__MIN","coin3_cbam_causal - SW_ep_rew_mean__MAX"
"1856000","-2.8333333333333335","-2.8333333333333335","-2.8333333333333335"
"1920000","-2.8400000731150308","-2.8400000731150308","-2.8400000731150308"
"1984000","-3.146666685740153","-3.146666685740153","-3.146666685740153"
"2048000","-3.0899999936421714","-3.0899999936421714","-3.0899999936421714"
"2112000","-3.2833333015441895","-3.2833333015441895","-3.2833333015441895"
"2176000","-2.4300000270207724","-2.4300000270207724","-2.4300000270207724"
"2240000","-2.8866666555404663","-2.8866666555404663","-2.8866666555404663"
"2304000","-3.2733333110809326","-3.2733333110809326","-3.2733333110809326"
"2368000","-2.7999999125798545","-2.7999999125798545","-2.7999999125798545"
"2432000","-2.3266666332880654","-2.3266666332880654","-2.3266666332880654"
"2496000","-2.8166666825612388","-2.8166666825612388","-2.8166666825612388"
"2560000","-2.6666667461395264","-2.6666667461395264","-2.6666667461395264"
"2624000","-3.046666701634725","-3.046666701634725","-3.046666701634725"
"2688000","-2.753333330154419","-2.753333330154419","-2.753333330154419"
"2752000","-2.3600000143051147","-2.3600000143051147","-2.3600000143051147"
"2816000","-2.5333333015441895","-2.5333333015441895","-2.5333333015441895"
"2880000","-2.1666667064030967","-2.1666667064030967","-2.1666667064030967"
"2944000","-2.9033334255218506","-2.9033334255218506","-2.9033334255218506"
"3008000","-2.506666660308838","-2.506666660308838","-2.506666660308838"
"3072000","-2.5933333237965903","-2.5933333237965903","-2.5933333237965903"
"3136000","-2.543333411216736","-2.543333411216736","-2.543333411216736"
"3200000","-1.993333339691162","-1.993333339691162","-1.993333339691162"
"3264000","-2.3133333722750344","-2.3133333722750344","-2.3133333722750344"
"3328000","-2.4400000174840293","-2.4400000174840293","-2.4400000174840293"
"3392000","-2.366666595141093","-2.366666595141093","-2.366666595141093"
"3456000","-2.1666667064030967","-2.1666667064030967","-2.1666667064030967"
"3520000","-2.1666667064030967","-2.1666667064030967","-2.1666667064030967"
"3584000","-2.5000000397364297","-2.5000000397364297","-2.5000000397364297"
"3648000","-2.0599999825159707","-2.0599999825159707","-2.0599999825159707"
"3712000","-2.4200000365575156","-2.4200000365575156","-2.4200000365575156"
"3776000","-2.100000003973643","-2.100000003973643","-2.100000003973643"
"3840000","-2.146666725476583","-2.146666725476583","-2.146666725476583"
"3904000","-1.4399999777475994","-1.4399999777475994","-1.4399999777475994"
"3968000","-2.1866666873296103","-2.1866666873296103","-2.1866666873296103"
"4032000","-1.8100000222524006","-1.8100000222524006","-1.8100000222524006"
"4096000","-2.5833333333333335","-2.5833333333333335","-2.5833333333333335"
"4160000","-2.393333315849304","-2.393333315849304","-2.393333315849304"
"4224000","-1.7666666507720947","-1.7666666507720947","-1.7666666507720947"
"4288000","-1.5700000325838726","-1.5700000325838726","-1.5700000325838726"
"4352000","-1.2433333198229473","-1.2433333198229473","-1.2433333198229473"
"4416000","-1.4199999968210857","-1.4199999968210857","-1.4199999968210857"
"4480000","-2.403333365917206","-2.403333365917206","-2.403333365917206"
"4544000","-1.2600000301996868","-1.2600000301996868","-1.2600000301996868"
"4608000","-2.1033333092927933","-2.1033333092927933","-2.1033333092927933"
"4672000","-1.4866666595141094","-1.4866666595141094","-1.4866666595141094"
"4736000","-0.9466666877269745","-0.9466666877269745","-0.9466666877269745"
"4800000","-1.8533334185679753","-1.8533334185679753","-1.8533334185679753"
"4864000","-2.1600000063578286","-2.1600000063578286","-2.1600000063578286"
"4928000","-1.606666664282481","-1.606666664282481","-1.606666664282481"
"4992000","-1.6200000047683716","-1.6200000047683716","-1.6200000047683716"
"5056000","-2.026666625092427","-2.026666625092427","-2.026666625092427"
"5120000","-2.1933332681655884","-2.1933332681655884","-2.1933332681655884"
"5184000","-1.1399999856948853","-1.1399999856948853","-1.1399999856948853"
"5248000","-1.2800000111262004","-1.2800000111262004","-1.2800000111262004"
"5312000","-1.5833333432674408","-1.5833333432674408","-1.5833333432674408"
"5376000","-1.3699999849001567","-1.3699999849001567","-1.3699999849001567"
"5440000","-1.4300000468889873","-1.4300000468889873","-1.4300000468889873"
"5504000","-1.5333333015441895","-1.5333333015441895","-1.5333333015441895"
"5568000","-1.0099999674906333","-1.0099999674906333","-1.0099999674906333"
"5632000","-0.7099999884764353","-0.7099999884764353","-0.7099999884764353"
"5696000","-1.3399999737739563","-1.3399999737739563","-1.3399999737739563"
