"Step","coin3_cbam_causal - SW_ep_rew_mean","coin3_cbam_causal - SW_ep_rew_mean__MIN","coin3_cbam_causal - SW_ep_rew_mean__MAX"
"1792000","-2.6866666873296103","-2.6866666873296103","-2.6866666873296103"
"1856000","-2.7600000898043313","-2.7600000898043313","-2.7600000898043313"
"1920000","-2.680000066757202","-2.680000066757202","-2.680000066757202"
"1984000","-2.3066666523615518","-2.3066666523615518","-2.3066666523615518"
"2048000","-2.806666692097982","-2.806666692097982","-2.806666692097982"
"2112000","-2.5933333237965903","-2.5933333237965903","-2.5933333237965903"
"2176000","-2.6299999554951987","-2.6299999554951987","-2.6299999554951987"
"2240000","-2.753333409627279","-2.753333409627279","-2.753333409627279"
"2304000","-2.8333332538604736","-2.8333332538604736","-2.8333332538604736"
"2368000","-2.6166666746139526","-2.6166666746139526","-2.6166666746139526"
"2432000","-2.646666646003723","-2.646666646003723","-2.646666646003723"
"2496000","-2.4799999793370566","-2.4799999793370566","-2.4799999793370566"
"2560000","-2.540000041325887","-2.540000041325887","-2.540000041325887"
"2624000","-2.800000031789144","-2.800000031789144","-2.800000031789144"
"2688000","-2.3266666730244956","-2.3266666730244956","-2.3266666730244956"
"2752000","-1.9533333778381348","-1.9533333778381348","-1.9533333778381348"
"2816000","-2.503333310286204","-2.503333310286204","-2.503333310286204"
"2880000","-2.459999998410543","-2.459999998410543","-2.459999998410543"
"2944000","-2.113333304723104","-2.113333304723104","-2.113333304723104"
"3008000","-2.7666666905085244","-2.7666666905085244","-2.7666666905085244"
"3072000","-2.060000002384186","-2.060000002384186","-2.060000002384186"
"3136000","-3.0366666316986084","-3.0366666316986084","-3.0366666316986084"
"3200000","-1.9333333758016427","-1.9333333758016427","-1.9333333758016427"
"3264000","-2.6600000460942588","-2.6600000460942588","-2.6600000460942588"
"3328000","-2.440000057220459","-2.440000057220459","-2.440000057220459"
"3392000","-2.5700000220288834","-2.5700000220288834","-2.5700000220288834"
"3456000","-2.2266666094462075","-2.2266666094462075","-2.2266666094462075"
"3520000","-2.4533333778381348","-2.4533333778381348","-2.4533333778381348"
"3584000","-2.8333332935969033","-2.8333332935969033","-2.8333332935969033"
"3648000","-2.0599999676148095","-2.0599999676148095","-2.0599999676148095"
"3712000","-2.2199999888738","-2.2199999888738","-2.2199999888738"
"3776000","-1.8800000349680583","-1.8800000349680583","-1.8800000349680583"
"3840000","-2.1533333460489907","-2.1533333460489907","-2.1533333460489907"
"3904000","-1.9933332999547322","-1.9933332999547322","-1.9933332999547322"
"3968000","-1.4933333074053128","-1.4933333074053128","-1.4933333074053128"
"4032000","-1.6800000270207722","-1.6800000270207722","-1.6800000270207722"
"4096000","-1.8066666920979817","-1.8066666920979817","-1.8066666920979817"
"4160000","-1.6566666960716248","-1.6566666960716248","-1.6566666960716248"
"4224000","-2.083333343267441","-2.083333343267441","-2.083333343267441"
"4288000","-1.8066667169332504","-1.8066667169332504","-1.8066667169332504"
"4352000","-1.3400000482797623","-1.3400000482797623","-1.3400000482797623"
"4416000","-1.6333332856496174","-1.6333332856496174","-1.6333332856496174"
"4480000","-1.2700000032782555","-1.2700000032782555","-1.2700000032782555"
"4544000","-1.0733333230018616","-1.0733333230018616","-1.0733333230018616"
"4608000","-1.6433333555857341","-1.6433333555857341","-1.6433333555857341"
"4672000","-0.9366666475931803","-0.9366666475931803","-0.9366666475931803"
"4736000","-1.0900000035762787","-1.0900000035762787","-1.0900000035762787"
"4800000","-1.40666667620341","-1.40666667620341","-1.40666667620341"
"4864000","-1.1666666467984517","-1.1666666467984517","-1.1666666467984517"
"4928000","-1.8266667226950328","-1.8266667226950328","-1.8266667226950328"
"4992000","-0.7166666388511658","-0.7166666388511658","-0.7166666388511658"
"5056000","-0.5166666811952988","-0.5166666811952988","-0.5166666811952988"
"5120000","-0.7666666706403097","-0.7666666706403097","-0.7666666706403097"
"5184000","-1.3600000143051147","-1.3600000143051147","-1.3600000143051147"
"5248000","-1.0099999904632568","-1.0099999904632568","-1.0099999904632568"
"5312000","-0.21999998887379965","-0.21999998887379965","-0.21999998887379965"
"5376000","-1.1833333472410839","-1.1833333472410839","-1.1833333472410839"
"5440000","-1.5199999809265137","-1.5199999809265137","-1.5199999809265137"
"5504000","-0.8333333333333334","-0.8333333333333334","-0.8333333333333334"
"5568000","-0.7599999705950419","-0.7599999705950419","-0.7599999705950419"
"5632000","-1.3133333325386047","-1.3133333325386047","-1.3133333325386047"
"5696000","-0.5899999936421713","-0.5899999936421713","-0.5899999936421713"
