"Step","coin4_cbam_baseline - SW_ep_rew_total","coin4_cbam_baseline - SW_ep_rew_total__MIN","coin4_cbam_baseline - SW_ep_rew_total__MAX"
"6016000","-5.339999794960022","-5.339999794960022","-5.339999794960022"
"6080000","-5.31999996304512","-5.31999996304512","-5.31999996304512"
"6144000","-6.0000001192092896","-6.0000001192092896","-6.0000001192092896"
"6208000","-4.759999871253967","-4.759999871253967","-4.759999871253967"
"6272000","-5.740000009536743","-5.740000009536743","-5.740000009536743"
"6336000","-4.420000374317169","-4.420000374317169","-4.420000374317169"
"6400000","-6.43999981880188","-6.43999981880188","-6.43999981880188"
"6464000","-5.840000152587891","-5.840000152587891","-5.840000152587891"
"6528000","-4.980000019073486","-4.980000019073486","-4.980000019073486"
"6592000","-6.009999632835388","-6.009999632835388","-6.009999632835388"
"6656000","-3.4600002765655518","-3.4600002765655518","-3.4600002765655518"
"6720000","-6.859999656677246","-6.859999656677246","-6.859999656677246"
"6784000","-4.520000338554382","-4.520000338554382","-4.520000338554382"
"6848000","-3.8099998235702515","-3.8099998235702515","-3.8099998235702515"
"6912000","-4.379999816417694","-4.379999816417694","-4.379999816417694"
"6976000","-5.759999990463257","-5.759999990463257","-5.759999990463257"
"7040000","-5.9999998807907104","-5.9999998807907104","-5.9999998807907104"
"7104000","-5.099999964237213","-5.099999964237213","-5.099999964237213"
"7168000","-4.75999990105629","-4.75999990105629","-4.75999990105629"
"7232000","-5.239999771118164","-5.239999771118164","-5.239999771118164"
"7296000","-5.750000089406967","-5.750000089406967","-5.750000089406967"
"7360000","-7.039999723434448","-7.039999723434448","-7.039999723434448"
"7424000","-6.300000190734863","-6.300000190734863","-6.300000190734863"
"7488000","-4.4999998807907104","-4.4999998807907104","-4.4999998807907104"
"7552000","-4.310000121593475","-4.310000121593475","-4.310000121593475"
"7616000","-6.049999475479126","-6.049999475479126","-6.049999475479126"
"7680000","-4.779999494552612","-4.779999494552612","-4.779999494552612"
"7744000","-4.140000553801656","-4.140000553801656","-4.140000553801656"
"7808000","-5.840000152587891","-5.840000152587891","-5.840000152587891"
"7872000","-5.900000095367432","-5.900000095367432","-5.900000095367432"
"7936000","-4.359999895095825","-4.359999895095825","-4.359999895095825"
"8000000","-5.419999778270721","-5.419999778270721","-5.419999778270721"
"8064000","-3.799999952316284","-3.799999952316284","-3.799999952316284"
"8128000","-4.980000138282776","-4.980000138282776","-4.980000138282776"
"8192000","-5.939999938011169","-5.939999938011169","-5.939999938011169"
"8256000","-3.839999735355377","-3.839999735355377","-3.839999735355377"
"8320000","-4.4799997210502625","-4.4799997210502625","-4.4799997210502625"
"8384000","-2.5200002193450928","-2.5200002193450928","-2.5200002193450928"
"8448000","-2.919999897480011","-2.919999897480011","-2.919999897480011"
"8512000","-5.820000171661377","-5.820000171661377","-5.820000171661377"
"8576000","-1.3599997758865356","-1.3599997758865356","-1.3599997758865356"
"8640000","-5.899999976158142","-5.899999976158142","-5.899999976158142"
"8704000","-4.940000355243683","-4.940000355243683","-4.940000355243683"
"8768000","-5.160000026226044","-5.160000026226044","-5.160000026226044"
"8832000","-5.980000074952841","-5.980000074952841","-5.980000074952841"
"8896000","-5.879999876022339","-5.879999876022339","-5.879999876022339"
"8960000","-5.2999995946884155","-5.2999995946884155","-5.2999995946884155"
"9024000","-5.279999494552612","-5.279999494552612","-5.279999494552612"
"9088000","-4.400000184774399","-4.400000184774399","-4.400000184774399"
