"Step","coin4_cbaminequity_aversion - SW_ep_rew_total","coin4_cbaminequity_aversion - SW_ep_rew_total__MIN","coin4_cbaminequity_aversion - SW_ep_rew_total__MAX"
"15808000","-5.860000491142273","-5.860000491142273","-5.860000491142273"
"15872000","-5.03999961912632","-5.03999961912632","-5.03999961912632"
"15936000","-4.279999762773514","-4.279999762773514","-4.279999762773514"
"16000000","-7.240000069141388","-7.240000069141388","-7.240000069141388"
"16064000","-4.9600002858787775","-4.9600002858787775","-4.9600002858787775"
"16128000","-7.3600005358457565","-7.3600005358457565","-7.3600005358457565"
"16192000","-6.3200002908706665","-6.3200002908706665","-6.3200002908706665"
"16256000","-4.699999928474426","-4.699999928474426","-4.699999928474426"
"16320000","-6.460000038146973","-6.460000038146973","-6.460000038146973"
"16384000","-5.080000221729279","-5.080000221729279","-5.080000221729279"
"16448000","-5.67999991774559","-5.67999991774559","-5.67999991774559"
"16512000","-4.599999785423279","-4.599999785423279","-4.599999785423279"
"16576000","-5.419999599456787","-5.419999599456787","-5.419999599456787"
"16640000","-5.120000630617142","-5.120000630617142","-5.120000630617142"
"16704000","-5.619999706745148","-5.619999706745148","-5.619999706745148"
"16768000","-4.739999890327454","-4.739999890327454","-4.739999890327454"
"16832000","-4.64000004529953","-4.64000004529953","-4.64000004529953"
"16896000","-4.71999979019165","-4.71999979019165","-4.71999979019165"
"16960000","-3.1800000071525574","-3.1800000071525574","-3.1800000071525574"
"17024000","-5.980000197887421","-5.980000197887421","-5.980000197887421"
"17088000","-4.120000123977661","-4.120000123977661","-4.120000123977661"
"17152000","-7.420000672340393","-7.420000672340393","-7.420000672340393"
"17216000","-5.920000188052654","-5.920000188052654","-5.920000188052654"
"17280000","-5.840000480413437","-5.840000480413437","-5.840000480413437"
"17344000","-5.359999477863312","-5.359999477863312","-5.359999477863312"
"17408000","-5.339999854564667","-5.339999854564667","-5.339999854564667"
"17472000","-6.279999852180481","-6.279999852180481","-6.279999852180481"
"17536000","-4.919999957084656","-4.919999957084656","-4.919999957084656"
"17600000","-5.3000000566244125","-5.3000000566244125","-5.3000000566244125"
"17664000","-5.580000162124634","-5.580000162124634","-5.580000162124634"
"17728000","-5.659999847412109","-5.659999847412109","-5.659999847412109"
"17792000","-6.800000309944153","-6.800000309944153","-6.800000309944153"
"17856000","-4.56000018119812","-4.56000018119812","-4.56000018119812"
"17920000","-4.620000250637531","-4.620000250637531","-4.620000250637531"
"17984000","-6.360000133514404","-6.360000133514404","-6.360000133514404"
"18048000","-5.960000038146973","-5.960000038146973","-5.960000038146973"
"18112000","-4.68000003695488","-4.68000003695488","-4.68000003695488"
"18176000","-5.699999630451202","-5.699999630451202","-5.699999630451202"
"18240000","-5.770000036805868","-5.770000036805868","-5.770000036805868"
"18304000","-5.43999969959259","-5.43999969959259","-5.43999969959259"
"18368000","-3.5100000500679016","-3.5100000500679016","-3.5100000500679016"
"18432000","-4.5","-4.5","-4.5"
"18496000","-5.480000197887421","-5.480000197887421","-5.480000197887421"
"18560000","-6.089999556541443","-6.089999556541443","-6.089999556541443"
"18624000","-6.579999804496765","-6.579999804496765","-6.579999804496765"
"18688000","-4.879999756813049","-4.879999756813049","-4.879999756813049"
"18752000","-6.460000395774841","-6.460000395774841","-6.460000395774841"
"18816000","-4.319999769330025","-4.319999769330025","-4.319999769330025"
"18880000","-5.0799998342990875","-5.0799998342990875","-5.0799998342990875"
"18944000","-4.019999921321869","-4.019999921321869","-4.019999921321869"
"19008000","-5.380000293254852","-5.380000293254852","-5.380000293254852"
"19072000","-3.960000157356262","-3.960000157356262","-3.960000157356262"
"19136000","-5.699999541044235","-5.699999541044235","-5.699999541044235"
"19200000","-5.200000241398811","-5.200000241398811","-5.200000241398811"
"19264000","-5.040000319480896","-5.040000319480896","-5.040000319480896"
"19328000","-5.439999997615814","-5.439999997615814","-5.439999997615814"
"19392000","-4.440000236034393","-4.440000236034393","-4.440000236034393"
"19456000","-4.399999916553497","-4.399999916553497","-4.399999916553497"
"19520000","-5.899999618530273","-5.899999618530273","-5.899999618530273"
"19584000","-6.1399999260902405","-6.1399999260902405","-6.1399999260902405"
"19648000","-6.160000145435333","-6.160000145435333","-6.160000145435333"
"19712000","-5.039999440312386","-5.039999440312386","-5.039999440312386"
"19776000","-3.71999990940094","-3.71999990940094","-3.71999990940094"
"19840000","-5.760000467300415","-5.760000467300415","-5.760000467300415"
"19904000","-4.720000252127647","-4.720000252127647","-4.720000252127647"
"19968000","-5.240000024437904","-5.240000024437904","-5.240000024437904"
"20032000","-5.439999938011169","-5.439999938011169","-5.439999938011169"
