"Step","cleanup_cbam_causal - SW_ep_rew_total","cleanup_cbam_causal - SW_ep_rew_total__MIN","cleanup_cbam_causal - SW_ep_rew_total__MAX"
"5760000","47.619999408721924","47.619999408721924","47.619999408721924"
"5824000","50.19999980926514","50.19999980926514","50.19999980926514"
"5888000","61.12999868392944","61.12999868392944","61.12999868392944"
"5952000","60.1200008392334","60.1200008392334","60.1200008392334"
"6016000","58.96000003814697","58.96000003814697","58.96000003814697"
"6080000","61.329999923706055","61.329999923706055","61.329999923706055"
"6144000","60.8799991607666","60.8799991607666","60.8799991607666"
"6208000","57.84000015258789","57.84000015258789","57.84000015258789"
"6272000","64.17000102996826","64.17000102996826","64.17000102996826"
"6336000","68.6200008392334","68.6200008392334","68.6200008392334"
"6400000","68.24000072479248","68.24000072479248","68.24000072479248"
"6464000","65.32999801635742","65.32999801635742","65.32999801635742"
"6528000","69.00999927520752","69.00999927520752","69.00999927520752"
"6592000","73.6200008392334","73.6200008392334","73.6200008392334"
"6656000","74.42000102996826","74.42000102996826","74.42000102996826"
"6720000","69.82999992370605","69.82999992370605","69.82999992370605"
"6784000","73.53999996185303","73.53999996185303","73.53999996185303"
"6848000","71.29000186920166","71.29000186920166","71.29000186920166"
"6912000","77.61999893188477","77.61999893188477","77.61999893188477"
"6976000","84.30000019073486","84.30000019073486","84.30000019073486"
"7040000","83.82000160217285","83.82000160217285","83.82000160217285"
"7104000","83.92999839782715","83.92999839782715","83.92999839782715"
"7168000","84.9300012588501","84.9300012588501","84.9300012588501"
"7232000","87.21999931335449","87.21999931335449","87.21999931335449"
"7296000","84.36000061035156","84.36000061035156","84.36000061035156"
"7360000","92.04000282287598","92.04000282287598","92.04000282287598"
"7424000","85.20000171661377","85.20000171661377","85.20000171661377"
"7488000","86.8400011062622","86.8400011062622","86.8400011062622"
"7552000","95.5900011062622","95.5900011062622","95.5900011062622"
"7616000","96.38000011444092","96.38000011444092","96.38000011444092"
"7680000","97.61999893188477","97.61999893188477","97.61999893188477"
"7744000","100.57999897003174","100.57999897003174","100.57999897003174"
"7808000","96.89999961853027","96.89999961853027","96.89999961853027"
"7872000","91.17000102996826","91.17000102996826","91.17000102996826"
"7936000","94.19000053405762","94.19000053405762","94.19000053405762"
"8000000","98.3799991607666","98.3799991607666","98.3799991607666"
"8064000","94.93000030517578","94.93000030517578","94.93000030517578"
"8128000","99.41000080108643","99.41000080108643","99.41000080108643"
"8192000","98.13000106811523","98.13000106811523","98.13000106811523"
"8256000","96.09000015258789","96.09000015258789","96.09000015258789"
"8320000","96.98000049591064","96.98000049591064","96.98000049591064"
"8384000","101.2299976348877","101.2299976348877","101.2299976348877"
"8448000","100.48999977111816","100.48999977111816","100.48999977111816"
"8512000","101.19999980926514","101.19999980926514","101.19999980926514"
"8576000","101.74999904632568","101.74999904632568","101.74999904632568"
"8640000","104.3499984741211","104.3499984741211","104.3499984741211"
"8704000","108.6200008392334","108.6200008392334","108.6200008392334"
"8768000","109.69999980926514","109.69999980926514","109.69999980926514"
"8832000","109.39999866485596","109.39999866485596","109.39999866485596"
"8896000","104.35000038146973","104.35000038146973","104.35000038146973"
"8960000","111.8700008392334","111.8700008392334","111.8700008392334"
"9024000","111.60000133514404","111.60000133514404","111.60000133514404"
"9088000","110.22999954223633","110.22999954223633","110.22999954223633"
"9152000","110.5099983215332","110.5099983215332","110.5099983215332"
"9216000","112.39000129699707","112.39000129699707","112.39000129699707"
"9280000","108.2400016784668","108.2400016784668","108.2400016784668"
"9344000","109.76000022888184","109.76000022888184","109.76000022888184"
"9408000","113.82999992370605","113.82999992370605","113.82999992370605"
"9472000","117.8499984741211","117.8499984741211","117.8499984741211"
"9536000","118.59000015258789","118.59000015258789","118.59000015258789"
"9600000","118.26000022888184","118.26000022888184","118.26000022888184"
"9664000","115.80000114440918","115.80000114440918","115.80000114440918"
"9728000","117.43000221252441","117.43000221252441","117.43000221252441"
"9792000","118.28000068664551","118.28000068664551","118.28000068664551"
"9856000","117.07999801635742","117.07999801635742","117.07999801635742"
"9920000","125.86000061035156","125.86000061035156","125.86000061035156"
"9984000","123.13000106811523","123.13000106811523","123.13000106811523"
"10048000","119.80000114440918","119.80000114440918","119.80000114440918"
